Problema,Tipo
hay 92 pajaros en un arbol y se van volando 61 ¿Cuantos pajaros quedan?,Resta
un bombero tiene 96 teles y resta 8 teles ¿Cuanto queda?,Resta
Cesar tiene 75 balones de futbol y Celeste tiene 45 balones de rugby ¿Cuantos balones hay en total?,Suma
Juan tiene 53 manzanas y Federico tiene 51 melocotones ¿Cuantos frutas hay en total?,Suma
medico tiene 87 frutas y excluye 2 frutas ¿Cuanto queda?,Resta
perro tiene 11 pajaros y añade 42 pajaros ¿Cuantos hay al final ?,Suma
jose tiene 100 coches y con una diferencia 34 coches ¿Cuantos le queda?,Resta
Francisco tiene 76 melocotones y Gustavo tiene 79 peras ¿Cuantos frutas hay en total?,Suma
hay 40 niños en clase y se van 20 ¿Cuantos niños quedan?,Resta
piloto tiene 60 mesas y le dan 32 mesas ¿Cuantos hay en total?,Suma
Francisco tiene 85 balones de tenis y Pedro tiene 50 balones de voley ¿Cuantos balones hay en total?,Suma
hay 30 tortillas en una mesa y se comen 24 ¿Cuantos tortillas quedan?,Resta
Roberto tiene 42 balones de futbol y Cesar tiene 89 balones de voley ¿Cuantos balones hay en total?,Suma
un bombero tiene 92 frutas y con una diferencia 32 frutas ¿Cuantos le queda?,Resta
un profesor tiene 83 animales y le dan 24 animales ¿Cuantos hay en total?,Suma
un camarero tiene 12 mesas y le quitan 10 mesas ¿Cuantos le queda?,Resta
un actor tiene 26 sillas y resta 25 sillas ¿Cuanto queda?,Resta
hay 89 pajaros en un arbol y se van volando 37 ¿Cuantos pajaros quedan?,Resta
cirujano tiene 90 teles y con una diferencia 10 teles ¿Cuanto queda?,Resta
hay 36 pajaros en un arbol y se van volando 88 ¿Cuantos pajaros quedan?,Resta
jose tiene 98 unidades y resta 96 unidades ¿Cuanto queda?,Resta
un mecanico tiene 25 coches y añade 21 coches ¿Cuantos hay al final ?,Suma
hay 68 tortillas en una mesa y se comen 60 ¿Cuantos tortillas quedan?,Resta
un policia tiene 93 teles y excluye 45 teles ¿Cuanto queda?,Resta
paloma tiene 60 teles y con una diferencia 38 teles ¿Cuantos le queda?,Resta
Roberto tiene 38 sandias y Lorena tiene 46 platano ¿Cuantos frutas hay en total?,Suma
Celeste tiene 60 balones de rugby y Ana tiene 53 balones de voley ¿Cuantos balones hay en total?,Suma
hay 49 tortillas en una mesa y se comen 90 ¿Cuantos tortillas quedan?,Resta
Juan tiene 83 balones de tenis y Cesar tiene 17 balones de voley ¿Cuantos balones hay en total?,Suma
un policia tiene 79 unidades y excluye 62 unidades ¿Cuanto queda?,Resta
Celeste tiene 66 balones de rugby y Cesar tiene 23 balones de futbol ¿Cuantos balones hay en total?,Suma
un actor tiene 19 mesas y suma 49 mesas ¿Cuantos tienen entre los dos?,Suma
Una azafata tiene 17 balones y añade 91 balones ¿Cuantos hay al final ?,Suma
hay 32 tortillas en una mesa y se comen 52 ¿Cuantos tortillas quedan?,Resta
hay 12 niños en clase y se van 40 ¿Cuantos niños quedan?,Resta
Lorena tiene 4 balones de basquet y Ana tiene 45 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 4 tortillas en una mesa y se comen 10 ¿Cuantos tortillas quedan?,Resta
hay 69 pajaros en un arbol y se van volando 35 ¿Cuantos pajaros quedan?,Resta
un mecanico tiene 77 sillas y resta 29 sillas ¿Cuantos tiene al final?,Resta
Cesar tiene 67 balones de futbol y Pedro tiene 26 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 81 niños en clase y se van 84 ¿Cuantos niños quedan?,Resta
medico tiene 12 coches y añade 13 coches ¿Cuantos tienen entre los dos?,Suma
hay 85 pajaros en un arbol y se van volando 86 ¿Cuantos pajaros quedan?,Resta
un mecanico tiene 93 pajaros y añade 17 pajaros ¿Cuantos hay al final ?,Suma
hay 99 niños en clase y se van 25 ¿Cuantos niños quedan?,Resta
jose tiene 40 teles y resta 17 teles ¿Cuantos le queda?,Resta
un mecanico tiene 99 frutas y suma 2 frutas ¿Cuantos hay al final ?,Suma
hay 4 niños en clase y se van 85 ¿Cuantos niños quedan?,Resta
piloto tiene 83 lapices y con una diferencia 13 lapices ¿Cuantos tiene al final?,Resta
ingeniero tiene 87 pajaros y le quitan 86 pajaros ¿Cuantos tiene al final?,Resta
profesor tiene 30 frutas y le dan 6 frutas ¿Cuantos hay en total?,Suma
profesor tiene 56 relojes y excluye 37 relojes ¿Cuantos le queda?,Resta
hay 82 niños en clase y se van 35 ¿Cuantos niños quedan?,Resta
Un carpitero tiene 82 piedras y le extraen 63 piedras ¿Cuanto queda?,Resta
Pablo tiene 47 ciruela y Federico tiene 75 platano ¿Cuantos frutas hay en total?,Suma
Lorena tiene 29 balones de basquet y Francisco tiene 48 balones de futbol ¿Cuantos balones hay en total?,Suma
Un carpitero tiene 80 canicas y le quitan 75 canicas ¿Cuantos tiene al final?,Resta
jose tiene 50 sillas y con una diferencia 44 sillas ¿Cuantos le queda?,Resta
hay 31 pajaros en un arbol y se van volando 81 ¿Cuantos pajaros quedan?,Resta
piloto tiene 64 canicas y incluye 85 canicas ¿Cuantos tienen entre los dos?,Suma
un perro tiene 19 coches y con una diferencia 12 coches ¿Cuantos le queda?,Resta
hay 71 niños en clase y se van 51 ¿Cuantos niños quedan?,Resta
hay 27 niños en clase y se van 85 ¿Cuantos niños quedan?,Resta
Cesar tiene 40 balones de voley y Pablo tiene 1 balones de futbol ¿Cuantos balones hay en total?,Suma
Una azafata tiene 81 moviles y con una diferencia 49 moviles ¿Cuantos tiene al final?,Resta
fontanero tiene 95 teles y incluye 1 teles ¿Cuantos hay en total?,Suma
Enrique tiene 45 unidades y le extraen 25 unidades ¿Cuanto queda?,Resta
una actriz tiene 89 carteras y le extraen 43 carteras ¿Cuanto queda?,Resta
Un carpitero tiene 76 canicas y excluye 54 canicas ¿Cuantos tiene al final?,Resta
un obrero tiene 44 sillas y suma 20 sillas ¿Cuantos hay en total?,Suma
un mecanico tiene 31 canicas y suma 86 canicas ¿Cuantos hay en total?,Suma
hay 12 niños en clase y se van 59 ¿Cuantos niños quedan?,Resta
Roberto tiene 72 balones de voley y Pablo tiene 87 balones de voley ¿Cuantos balones hay en total?,Suma
pablito  tiene 37 coches y añade 63 coches ¿Cuantos tienen entre los dos?,Suma
Cesar tiene 81 papayas y Celeste tiene 3 toronjas ¿Cuantos frutas hay en total?,Suma
un mecanico tiene 15 lapices y añade 22 lapices ¿Cuantos hay al final ?,Suma
Un carpitero tiene 72 lapices y le entregan 44 lapices ¿Cuantos hay al final ?,Suma
Federico tiene 71 papayas y Celeste tiene 22 manzanas ¿Cuantos frutas hay en total?,Suma
hay 31 pajaros en un arbol y se van volando 38 ¿Cuantos pajaros quedan?,Resta
un profesor tiene 46 pajaros y excluye 42 pajaros ¿Cuantos tiene al final?,Resta
un cirujano tiene 59 relojes y le extraen 39 relojes ¿Cuantos le queda?,Resta
Ana tiene 20 balones de voley y Pablo tiene 57 balones de tenis ¿Cuantos balones hay en total?,Suma
un perro tiene 95 unidades y añade 41 unidades ¿Cuantos hay en total?,Suma
un camarero tiene 63 balones y excluye 19 balones ¿Cuantos tiene al final?,Resta
Roberto tiene 26 balones de futbol y Juan tiene 9 balones de tenis ¿Cuantos balones hay en total?,Suma
Julio tiene 39 balones de rugby y Federico tiene 87 balones de rugby ¿Cuantos balones hay en total?,Suma
un actor tiene 43 frutas y resta 1 frutas ¿Cuantos le queda?,Resta
un perro tiene 85 moviles y suma 65 moviles ¿Cuantos hay al final ?,Suma
jose tiene 86 teles y le quitan 15 teles ¿Cuantos le queda?,Resta
fontanero tiene 100 unidades y resta 80 unidades ¿Cuantos le queda?,Resta
un profesor tiene 28 moviles y le entregan 73 moviles ¿Cuantos hay al final ?,Suma
hay 15 pajaros en un arbol y se van volando 72 ¿Cuantos pajaros quedan?,Resta
hay 82 niños en clase y se van 42 ¿Cuantos niños quedan?,Resta
fontanero tiene 57 canicas y añade 65 canicas ¿Cuantos tienen entre los dos?,Suma
hay 76 tortillas en una mesa y se comen 13 ¿Cuantos tortillas quedan?,Resta
un cirujano tiene 85 carteras y le extraen 82 carteras ¿Cuanto queda?,Resta
pablito  tiene 29 animales y con una diferencia 22 animales ¿Cuantos le queda?,Resta
perro tiene 92 lapices y incluye 8 lapices ¿Cuantos tienen entre los dos?,Suma
Celeste tiene 49 balones de voley y Francisco tiene 69 balones de rugby ¿Cuantos balones hay en total?,Suma
Una azafata tiene 62 relojes y añade 67 relojes ¿Cuantos hay en total?,Suma
Cesar tiene 80 balones de basquet y Francisco tiene 54 balones de futbol ¿Cuantos balones hay en total?,Suma
perro tiene 85 sillas y suma 81 sillas ¿Cuantos hay al final ?,Suma
un obrero tiene 25 frutas y incluye 28 frutas ¿Cuantos hay al final ?,Suma
hay 9 pajaros en un arbol y se van volando 88 ¿Cuantos pajaros quedan?,Resta
un perro tiene 87 sillas y resta 43 sillas ¿Cuantos tiene al final?,Resta
un obrero tiene 29 balones y incluye 16 balones ¿Cuantos tienen entre los dos?,Suma
Enrique tiene 90 sillas y excluye 51 sillas ¿Cuanto queda?,Resta
hay 69 niños en clase y se van 79 ¿Cuantos niños quedan?,Resta
un bombero tiene 39 lapices y incluye 64 lapices ¿Cuantos hay al final ?,Suma
Gustavo tiene 52 manzanas y Lucas tiene 28 uvas ¿Cuantos frutas hay en total?,Suma
perro tiene 9 frutas y le dan 14 frutas ¿Cuantos hay al final ?,Suma
fontanero tiene 76 moviles y le extraen 69 moviles ¿Cuanto queda?,Resta
perro tiene 9 sillas y resta 4 sillas ¿Cuanto queda?,Resta
cirujano tiene 12 canicas y incluye 49 canicas ¿Cuantos hay al final ?,Suma
un camarero tiene 67 unidades y le dan 32 unidades ¿Cuantos hay en total?,Suma
Roberto tiene 30 melocotones y Gustavo tiene 96 sandias ¿Cuantos frutas hay en total?,Suma
Francisco tiene 26 platano y Cesar tiene 87 toronjas ¿Cuantos frutas hay en total?,Suma
Lorena tiene 11 peras y Lucas tiene 53 peras ¿Cuantos frutas hay en total?,Suma
hay 77 niños en clase y se van 68 ¿Cuantos niños quedan?,Resta
hay 77 niños en clase y se van 24 ¿Cuantos niños quedan?,Resta
un obrero tiene 59 coches y le extraen 36 coches ¿Cuantos le queda?,Resta
Ana tiene 15 sandias y Federico tiene 83 papayas ¿Cuantos frutas hay en total?,Suma
un bombero tiene 82 frutas y excluye 26 frutas ¿Cuanto queda?,Resta
hay 35 tortillas en una mesa y se comen 87 ¿Cuantos tortillas quedan?,Resta
perro tiene 83 animales y excluye 29 animales ¿Cuanto queda?,Resta
jose tiene 24 animales y suma 60 animales ¿Cuantos tienen entre los dos?,Suma
cirujano tiene 88 moviles y incluye 37 moviles ¿Cuantos hay al final ?,Suma
Pedro tiene 29 balones de tenis y Juan tiene 74 balones de futbol ¿Cuantos balones hay en total?,Suma
Juan tiene 79 platano y Cesar tiene 5 toronjas ¿Cuantos frutas hay en total?,Suma
medico tiene 47 pajaros y con una diferencia 35 pajaros ¿Cuantos tiene al final?,Resta
Juan tiene 46 balones de rugby y Julio tiene 10 balones de voley ¿Cuantos balones hay en total?,Suma
Pedro tiene 37 toronjas y Cesar tiene 90 uvas ¿Cuantos frutas hay en total?,Suma
hay 41 tortillas en una mesa y se comen 83 ¿Cuantos tortillas quedan?,Resta
un policia tiene 38 unidades y con una diferencia 16 unidades ¿Cuantos le queda?,Resta
hay 92 pajaros en un arbol y se van volando 8 ¿Cuantos pajaros quedan?,Resta
paloma tiene 65 carteras y añade 9 carteras ¿Cuantos tienen entre los dos?,Suma
piloto tiene 80 lapices y le entregan 72 lapices ¿Cuantos hay en total?,Suma
Pedro tiene 25 toronjas y Gustavo tiene 95 coco ¿Cuantos frutas hay en total?,Suma
hay 51 pajaros en un arbol y se van volando 98 ¿Cuantos pajaros quedan?,Resta
hay 59 pajaros en un arbol y se van volando 59 ¿Cuantos pajaros quedan?,Resta
hay 57 tortillas en una mesa y se comen 70 ¿Cuantos tortillas quedan?,Resta
hay 70 niños en clase y se van 14 ¿Cuantos niños quedan?,Resta
piloto tiene 71 animales y le quitan 61 animales ¿Cuantos tiene al final?,Resta
Enrique tiene 80 balones y le extraen 40 balones ¿Cuanto queda?,Resta
hay 25 tortillas en una mesa y se comen 72 ¿Cuantos tortillas quedan?,Resta
Cesar tiene 9 balones de rugby y Francisco tiene 91 balones de voley ¿Cuantos balones hay en total?,Suma
un albañil tiene 67 mesas y le dan 82 mesas ¿Cuantos hay en total?,Suma
cirujano tiene 52 moviles y con una diferencia 35 moviles ¿Cuanto queda?,Resta
Juan tiene 14 ciruela y Pedro tiene 80 melocotones ¿Cuantos frutas hay en total?,Suma
hay 85 tortillas en una mesa y se comen 88 ¿Cuantos tortillas quedan?,Resta
Ana tiene 66 balones de rugby y Roberto tiene 79 balones de rugby ¿Cuantos balones hay en total?,Suma
Juan tiene 37 balones de futbol y Lucas tiene 97 balones de tenis ¿Cuantos balones hay en total?,Suma
hay 72 tortillas en una mesa y se comen 59 ¿Cuantos tortillas quedan?,Resta
Celeste tiene 84 balones de rugby y Juan tiene 79 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 34 pajaros en un arbol y se van volando 36 ¿Cuantos pajaros quedan?,Resta
paloma tiene 28 pajaros y con una diferencia 19 pajaros ¿Cuantos tiene al final?,Resta
Juan tiene 60 manzanas y Federico tiene 13 sandias ¿Cuantos frutas hay en total?,Suma
un policia tiene 75 frutas y suma 100 frutas ¿Cuantos hay en total?,Suma
una actriz tiene 44 sillas y con una diferencia 21 sillas ¿Cuantos le queda?,Resta
hay 64 niños en clase y se van 79 ¿Cuantos niños quedan?,Resta
ingeniero tiene 52 balones y resta 13 balones ¿Cuantos tiene al final?,Resta
Celeste tiene 32 ciruela y Federico tiene 23 papayas ¿Cuantos frutas hay en total?,Suma
Una azafata tiene 98 carteras y añade 60 carteras ¿Cuantos hay en total?,Suma
hay 4 tortillas en una mesa y se comen 99 ¿Cuantos tortillas quedan?,Resta
medico tiene 91 unidades y le extraen 42 unidades ¿Cuantos le queda?,Resta
hay 78 pajaros en un arbol y se van volando 2 ¿Cuantos pajaros quedan?,Resta
un bombero tiene 84 teles y le entregan 18 teles ¿Cuantos tienen entre los dos?,Suma
hay 97 niños en clase y se van 79 ¿Cuantos niños quedan?,Resta
un cirujano tiene 58 unidades y resta 26 unidades ¿Cuanto queda?,Resta
Francisco tiene 71 melocotones y Federico tiene 45 toronjas ¿Cuantos frutas hay en total?,Suma
Cesar tiene 83 balones de voley y Lorena tiene 39 balones de rugby ¿Cuantos balones hay en total?,Suma
un mecanico tiene 63 carteras y suma 69 carteras ¿Cuantos hay en total?,Suma
un obrero tiene 88 canicas y resta 14 canicas ¿Cuantos le queda?,Resta
hay 73 pajaros en un arbol y se van volando 43 ¿Cuantos pajaros quedan?,Resta
un cirujano tiene 60 coches y le quitan 19 coches ¿Cuantos le queda?,Resta
Pablo tiene 22 sandias y Federico tiene 9 sandias ¿Cuantos frutas hay en total?,Suma
piloto tiene 71 mesas y con una diferencia 38 mesas ¿Cuanto queda?,Resta
Cesar tiene 76 toronjas y Lucas tiene 61 melocotones ¿Cuantos frutas hay en total?,Suma
un perro tiene 38 canicas y le quitan 19 canicas ¿Cuantos le queda?,Resta
profesor tiene 85 balones y añade 100 balones ¿Cuantos hay en total?,Suma
hay 5 pajaros en un arbol y se van volando 70 ¿Cuantos pajaros quedan?,Resta
jose tiene 46 animales y añade 54 animales ¿Cuantos tienen entre los dos?,Suma
hay 75 niños en clase y se van 62 ¿Cuantos niños quedan?,Resta
un obrero tiene 25 animales y incluye 12 animales ¿Cuantos hay al final ?,Suma
hay 98 niños en clase y se van 64 ¿Cuantos niños quedan?,Resta
hay 57 pajaros en un arbol y se van volando 53 ¿Cuantos pajaros quedan?,Resta
ingeniero tiene 15 relojes y resta 8 relojes ¿Cuantos le queda?,Resta
hay 44 niños en clase y se van 89 ¿Cuantos niños quedan?,Resta
Francisco tiene 78 balones de basquet y Pedro tiene 44 balones de rugby ¿Cuantos balones hay en total?,Suma
programador tiene 96 unidades y le extraen 52 unidades ¿Cuantos tiene al final?,Resta
hay 47 tortillas en una mesa y se comen 90 ¿Cuantos tortillas quedan?,Resta
Una azafata tiene 91 piedras y le quitan 51 piedras ¿Cuantos le queda?,Resta
Roberto tiene 47 toronjas y Pablo tiene 61 platano ¿Cuantos frutas hay en total?,Suma
Ana tiene 67 balones de voley y Lucas tiene 41 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 17 niños en clase y se van 20 ¿Cuantos niños quedan?,Resta
un cirujano tiene 80 balones y le entregan 73 balones ¿Cuantos hay al final ?,Suma
un bombero tiene 35 carteras y resta 21 carteras ¿Cuantos le queda?,Resta
hay 66 pajaros en un arbol y se van volando 73 ¿Cuantos pajaros quedan?,Resta
programador tiene 99 piedras y añade 95 piedras ¿Cuantos hay al final ?,Suma
un obrero tiene 2 animales y añade 25 animales ¿Cuantos hay al final ?,Suma
hay 86 niños en clase y se van 35 ¿Cuantos niños quedan?,Resta
pablito  tiene 31 canicas y le extraen 20 canicas ¿Cuantos tiene al final?,Resta
un actor tiene 15 mesas y añade 60 mesas ¿Cuantos hay al final ?,Suma
un profesor tiene 97 balones y con una diferencia 22 balones ¿Cuantos tiene al final?,Resta
una actriz tiene 67 animales y resta 19 animales ¿Cuantos tiene al final?,Resta
paloma tiene 80 teles y añade 16 teles ¿Cuantos tienen entre los dos?,Suma
ingeniero tiene 81 mesas y le dan 45 mesas ¿Cuantos hay en total?,Suma
hay 10 tortillas en una mesa y se comen 59 ¿Cuantos tortillas quedan?,Resta
Ana tiene 90 balones de futbol y Roberto tiene 91 balones de futbol ¿Cuantos balones hay en total?,Suma
Una azafata tiene 33 lapices y con una diferencia 7 lapices ¿Cuantos tiene al final?,Resta
piloto tiene 38 carteras y le dan 8 carteras ¿Cuantos hay al final ?,Suma
hay 22 pajaros en un arbol y se van volando 69 ¿Cuantos pajaros quedan?,Resta
hay 27 tortillas en una mesa y se comen 44 ¿Cuantos tortillas quedan?,Resta
medico tiene 36 canicas y resta 30 canicas ¿Cuantos le queda?,Resta
Una azafata tiene 62 carteras y añade 23 carteras ¿Cuantos hay al final ?,Suma
hay 33 niños en clase y se van 76 ¿Cuantos niños quedan?,Resta
un actor tiene 61 carteras y incluye 61 carteras ¿Cuantos hay en total?,Suma
fontanero tiene 81 piedras y le quitan 78 piedras ¿Cuanto queda?,Resta
Francisco tiene 96 melocotones y Celeste tiene 52 manzanas ¿Cuantos frutas hay en total?,Suma
hay 25 niños en clase y se van 88 ¿Cuantos niños quedan?,Resta
hay 98 pajaros en un arbol y se van volando 29 ¿Cuantos pajaros quedan?,Resta
ingeniero tiene 54 mesas y le entregan 19 mesas ¿Cuantos tienen entre los dos?,Suma
hay 33 pajaros en un arbol y se van volando 69 ¿Cuantos pajaros quedan?,Resta
un policia tiene 21 animales y añade 70 animales ¿Cuantos hay al final ?,Suma
piloto tiene 11 piedras y le entregan 47 piedras ¿Cuantos hay en total?,Suma
Pedro tiene 83 peras y Lorena tiene 11 platano ¿Cuantos frutas hay en total?,Suma
Federico tiene 6 balones de voley y Pedro tiene 98 balones de tenis ¿Cuantos balones hay en total?,Suma
Cesar tiene 47 balones de futbol y Gustavo tiene 47 balones de basquet ¿Cuantos balones hay en total?,Suma
Federico tiene 40 ciruela y Lorena tiene 59 uvas ¿Cuantos frutas hay en total?,Suma
un albañil tiene 56 lapices y le entregan 86 lapices ¿Cuantos hay en total?,Suma
hay 94 pajaros en un arbol y se van volando 11 ¿Cuantos pajaros quedan?,Resta
jose tiene 86 unidades y con una diferencia 12 unidades ¿Cuantos tiene al final?,Resta
