Problema,Tipo
Juan tiene 63 platano y Lucas tiene 86 uvas ¿Cuantos frutas hay en total?,Suma
Enrique tiene 66 frutas y le quitan 22 frutas ¿Cuantos le queda?,Resta
fontanero tiene 61 piedras y le dan 79 piedras ¿Cuantos hay al final ?,Suma
hay 92 pajaros en un arbol y se van volando 68 ¿Cuantos pajaros quedan?,Resta
un obrero tiene 19 coches y le extraen 15 coches ¿Cuantos tiene al final?,Resta
ingeniero tiene 95 pajaros y con una diferencia 59 pajaros ¿Cuantos le queda?,Resta
medico tiene 14 unidades y añade 19 unidades ¿Cuantos hay al final ?,Suma
un albañil tiene 84 balones y resta 59 balones ¿Cuantos le queda?,Resta
un perro tiene 60 piedras y incluye 52 piedras ¿Cuantos tienen entre los dos?,Suma
hay 51 pajaros en un arbol y se van volando 88 ¿Cuantos pajaros quedan?,Resta
programador tiene 95 unidades y le entregan 11 unidades ¿Cuantos hay en total?,Suma
Cesar tiene 29 ciruela y Lucas tiene 23 ciruela ¿Cuantos frutas hay en total?,Suma
Federico tiene 43 melocotones y Pablo tiene 27 melocotones ¿Cuantos frutas hay en total?,Suma
ingeniero tiene 50 unidades y añade 33 unidades ¿Cuantos tienen entre los dos?,Suma
pablito  tiene 33 balones y le quitan 16 balones ¿Cuantos le queda?,Resta
un camarero tiene 96 pajaros y suma 12 pajaros ¿Cuantos hay en total?,Suma
Lorena tiene 42 platano y Juan tiene 38 sandias ¿Cuantos frutas hay en total?,Suma
Federico tiene 51 sandias y Cesar tiene 62 manzanas ¿Cuantos frutas hay en total?,Suma
Roberto tiene 65 balones de tenis y Gustavo tiene 70 balones de basquet ¿Cuantos balones hay en total?,Suma
Lucas tiene 69 toronjas y Gustavo tiene 2 platano ¿Cuantos frutas hay en total?,Suma
hay 6 pajaros en un arbol y se van volando 18 ¿Cuantos pajaros quedan?,Resta
Gustavo tiene 54 balones de basquet y Celeste tiene 19 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 93 pajaros en un arbol y se van volando 29 ¿Cuantos pajaros quedan?,Resta
Lucas tiene 27 platano y Pablo tiene 49 melocotones ¿Cuantos frutas hay en total?,Suma
Roberto tiene 28 balones de futbol y Cesar tiene 34 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 60 niños en clase y se van 40 ¿Cuantos niños quedan?,Resta
Lorena tiene 57 balones de basquet y Ana tiene 59 balones de basquet ¿Cuantos balones hay en total?,Suma
paloma tiene 32 frutas y añade 81 frutas ¿Cuantos tienen entre los dos?,Suma
Cesar tiene 49 coco y Juan tiene 83 papayas ¿Cuantos frutas hay en total?,Suma
un obrero tiene 4 mesas y añade 26 mesas ¿Cuantos hay al final ?,Suma
piloto tiene 58 teles y añade 17 teles ¿Cuantos hay en total?,Suma
un camarero tiene 44 lapices y le dan 94 lapices ¿Cuantos hay en total?,Suma
ingeniero tiene 46 teles y le dan 47 teles ¿Cuantos tienen entre los dos?,Suma
Federico tiene 38 peras y Julio tiene 74 manzanas ¿Cuantos frutas hay en total?,Suma
un camarero tiene 87 relojes y le extraen 25 relojes ¿Cuantos tiene al final?,Resta
hay 11 tortillas en una mesa y se comen 24 ¿Cuantos tortillas quedan?,Resta
Un carpitero tiene 48 carteras y suma 3 carteras ¿Cuantos hay al final ?,Suma
hay 34 pajaros en un arbol y se van volando 11 ¿Cuantos pajaros quedan?,Resta
un camarero tiene 35 mesas y le quitan 16 mesas ¿Cuantos tiene al final?,Resta
hay 4 pajaros en un arbol y se van volando 28 ¿Cuantos pajaros quedan?,Resta
un obrero tiene 42 balones y le extraen 29 balones ¿Cuantos tiene al final?,Resta
una actriz tiene 90 unidades y excluye 54 unidades ¿Cuantos tiene al final?,Resta
Federico tiene 2 balones de voley y Juan tiene 60 balones de tenis ¿Cuantos balones hay en total?,Suma
hay 34 niños en clase y se van 66 ¿Cuantos niños quedan?,Resta
programador tiene 96 relojes y añade 18 relojes ¿Cuantos hay en total?,Suma
hay 12 pajaros en un arbol y se van volando 21 ¿Cuantos pajaros quedan?,Resta
hay 38 pajaros en un arbol y se van volando 45 ¿Cuantos pajaros quedan?,Resta
hay 19 tortillas en una mesa y se comen 39 ¿Cuantos tortillas quedan?,Resta
piloto tiene 92 canicas y incluye 72 canicas ¿Cuantos tienen entre los dos?,Suma
Enrique tiene 41 coches y le quitan 24 coches ¿Cuantos tiene al final?,Resta
profesor tiene 71 frutas y añade 17 frutas ¿Cuantos hay en total?,Suma
hay 45 pajaros en un arbol y se van volando 77 ¿Cuantos pajaros quedan?,Resta
Ana tiene 43 balones de tenis y Julio tiene 23 balones de tenis ¿Cuantos balones hay en total?,Suma
un obrero tiene 51 unidades y le extraen 5 unidades ¿Cuanto queda?,Resta
Un carpitero tiene 80 animales y suma 53 animales ¿Cuantos hay al final ?,Suma
un obrero tiene 24 canicas y le quitan 23 canicas ¿Cuantos le queda?,Resta
un profesor tiene 75 canicas y le extraen 46 canicas ¿Cuantos tiene al final?,Resta
hay 17 pajaros en un arbol y se van volando 47 ¿Cuantos pajaros quedan?,Resta
Lucas tiene 16 coco y Pedro tiene 16 uvas ¿Cuantos frutas hay en total?,Suma
Gustavo tiene 84 balones de tenis y Pedro tiene 71 balones de voley ¿Cuantos balones hay en total?,Suma
Ana tiene 96 balones de basquet y Celeste tiene 54 balones de tenis ¿Cuantos balones hay en total?,Suma
Julio tiene 59 sandias y Francisco tiene 67 uvas ¿Cuantos frutas hay en total?,Suma
Un carpitero tiene 28 moviles y resta 11 moviles ¿Cuanto queda?,Resta
perro tiene 94 unidades y le dan 34 unidades ¿Cuantos hay en total?,Suma
programador tiene 55 sillas y suma 11 sillas ¿Cuantos hay al final ?,Suma
hay 98 tortillas en una mesa y se comen 59 ¿Cuantos tortillas quedan?,Resta
perro tiene 79 balones y con una diferencia 28 balones ¿Cuantos tiene al final?,Resta
un mecanico tiene 77 coches y con una diferencia 31 coches ¿Cuanto queda?,Resta
Cesar tiene 91 balones de voley y Roberto tiene 80 balones de voley ¿Cuantos balones hay en total?,Suma
Celeste tiene 72 balones de futbol y Lorena tiene 54 balones de tenis ¿Cuantos balones hay en total?,Suma
Un carpitero tiene 59 canicas y le quitan 30 canicas ¿Cuantos le queda?,Resta
Cesar tiene 3 uvas y Pedro tiene 95 manzanas ¿Cuantos frutas hay en total?,Suma
Juan tiene 98 balones de voley y Celeste tiene 33 balones de basquet ¿Cuantos balones hay en total?,Suma
fontanero tiene 95 lapices y resta 40 lapices ¿Cuantos le queda?,Resta
hay 96 pajaros en un arbol y se van volando 79 ¿Cuantos pajaros quedan?,Resta
hay 32 pajaros en un arbol y se van volando 57 ¿Cuantos pajaros quedan?,Resta
pablito  tiene 44 unidades y le extraen 43 unidades ¿Cuantos le queda?,Resta
Juan tiene 24 balones de futbol y Roberto tiene 61 balones de rugby ¿Cuantos balones hay en total?,Suma
Celeste tiene 26 balones de futbol y Lucas tiene 13 balones de tenis ¿Cuantos balones hay en total?,Suma
un cirujano tiene 15 unidades y incluye 100 unidades ¿Cuantos hay al final ?,Suma
hay 4 niños en clase y se van 31 ¿Cuantos niños quedan?,Resta
medico tiene 23 pajaros y incluye 41 pajaros ¿Cuantos hay en total?,Suma
hay 28 tortillas en una mesa y se comen 91 ¿Cuantos tortillas quedan?,Resta
Francisco tiene 9 melocotones y Cesar tiene 70 uvas ¿Cuantos frutas hay en total?,Suma
una actriz tiene 92 piedras y le extraen 83 piedras ¿Cuantos tiene al final?,Resta
hay 22 tortillas en una mesa y se comen 36 ¿Cuantos tortillas quedan?,Resta
Ana tiene 9 ciruela y Lucas tiene 37 platano ¿Cuantos frutas hay en total?,Suma
una actriz tiene 59 teles y resta 22 teles ¿Cuantos le queda?,Resta
hay 69 tortillas en una mesa y se comen 3 ¿Cuantos tortillas quedan?,Resta
hay 72 tortillas en una mesa y se comen 40 ¿Cuantos tortillas quedan?,Resta
pablito  tiene 27 teles y le dan 44 teles ¿Cuantos hay en total?,Suma
Lorena tiene 28 melocotones y Pedro tiene 92 melocotones ¿Cuantos frutas hay en total?,Suma
un mecanico tiene 19 piedras y le dan 92 piedras ¿Cuantos tienen entre los dos?,Suma
hay 21 pajaros en un arbol y se van volando 95 ¿Cuantos pajaros quedan?,Resta
un obrero tiene 47 coches y le entregan 31 coches ¿Cuantos tienen entre los dos?,Suma
una actriz tiene 56 sillas y añade 66 sillas ¿Cuantos hay al final ?,Suma
medico tiene 10 moviles y le dan 23 moviles ¿Cuantos tienen entre los dos?,Suma
perro tiene 80 animales y le entregan 93 animales ¿Cuantos hay en total?,Suma
hay 6 tortillas en una mesa y se comen 22 ¿Cuantos tortillas quedan?,Resta
Federico tiene 53 balones de basquet y Juan tiene 13 balones de voley ¿Cuantos balones hay en total?,Suma
hay 39 niños en clase y se van 78 ¿Cuantos niños quedan?,Resta
un mecanico tiene 56 balones y le entregan 54 balones ¿Cuantos hay al final ?,Suma
un bombero tiene 68 sillas y le extraen 37 sillas ¿Cuantos tiene al final?,Resta
hay 97 niños en clase y se van 16 ¿Cuantos niños quedan?,Resta
hay 7 niños en clase y se van 46 ¿Cuantos niños quedan?,Resta
hay 90 tortillas en una mesa y se comen 11 ¿Cuantos tortillas quedan?,Resta
pablito  tiene 47 pajaros y con una diferencia 16 pajaros ¿Cuanto queda?,Resta
Ana tiene 71 coco y Francisco tiene 20 peras ¿Cuantos frutas hay en total?,Suma
hay 86 pajaros en un arbol y se van volando 75 ¿Cuantos pajaros quedan?,Resta
Enrique tiene 90 teles y le extraen 28 teles ¿Cuantos le queda?,Resta
Pedro tiene 78 balones de rugby y Celeste tiene 24 balones de futbol ¿Cuantos balones hay en total?,Suma
Gustavo tiene 37 uvas y Cesar tiene 93 toronjas ¿Cuantos frutas hay en total?,Suma
Gustavo tiene 84 sandias y Cesar tiene 12 coco ¿Cuantos frutas hay en total?,Suma
un perro tiene 63 balones y con una diferencia 20 balones ¿Cuantos tiene al final?,Resta
hay 51 pajaros en un arbol y se van volando 63 ¿Cuantos pajaros quedan?,Resta
un bombero tiene 49 coches y incluye 69 coches ¿Cuantos hay en total?,Suma
Un carpitero tiene 93 animales y le extraen 12 animales ¿Cuantos tiene al final?,Resta
un profesor tiene 38 unidades y le dan 12 unidades ¿Cuantos tienen entre los dos?,Suma
hay 64 pajaros en un arbol y se van volando 84 ¿Cuantos pajaros quedan?,Resta
un policia tiene 62 mesas y resta 50 mesas ¿Cuanto queda?,Resta
hay 83 pajaros en un arbol y se van volando 3 ¿Cuantos pajaros quedan?,Resta
un profesor tiene 17 frutas y añade 34 frutas ¿Cuantos tienen entre los dos?,Suma
hay 32 pajaros en un arbol y se van volando 88 ¿Cuantos pajaros quedan?,Resta
programador tiene 85 animales y incluye 99 animales ¿Cuantos tienen entre los dos?,Suma
Juan tiene 28 toronjas y Pedro tiene 7 manzanas ¿Cuantos frutas hay en total?,Suma
cirujano tiene 71 balones y le quitan 48 balones ¿Cuantos le queda?,Resta
programador tiene 69 coches y con una diferencia 40 coches ¿Cuantos le queda?,Resta
Lorena tiene 86 balones de voley y Cesar tiene 33 balones de tenis ¿Cuantos balones hay en total?,Suma
Roberto tiene 3 uvas y Cesar tiene 19 toronjas ¿Cuantos frutas hay en total?,Suma
hay 96 niños en clase y se van 76 ¿Cuantos niños quedan?,Resta
un mecanico tiene 76 sillas y le extraen 2 sillas ¿Cuanto queda?,Resta
Enrique tiene 11 animales y le dan 81 animales ¿Cuantos hay al final ?,Suma
programador tiene 71 pajaros y le quitan 57 pajaros ¿Cuantos tiene al final?,Resta
Roberto tiene 54 balones de tenis y Celeste tiene 68 balones de voley ¿Cuantos balones hay en total?,Suma
hay 31 tortillas en una mesa y se comen 7 ¿Cuantos tortillas quedan?,Resta
una actriz tiene 28 mesas y le extraen 17 mesas ¿Cuantos le queda?,Resta
ingeniero tiene 84 canicas y excluye 23 canicas ¿Cuantos le queda?,Resta
fontanero tiene 95 carteras y le extraen 4 carteras ¿Cuantos tiene al final?,Resta
hay 75 niños en clase y se van 37 ¿Cuantos niños quedan?,Resta
perro tiene 63 animales y le entregan 18 animales ¿Cuantos hay en total?,Suma
un albañil tiene 48 pajaros y le extraen 6 pajaros ¿Cuantos tiene al final?,Resta
profesor tiene 76 teles y le entregan 12 teles ¿Cuantos tienen entre los dos?,Suma
Pedro tiene 98 balones de rugby y Pablo tiene 93 balones de tenis ¿Cuantos balones hay en total?,Suma
fontanero tiene 73 lapices y le entregan 90 lapices ¿Cuantos hay al final ?,Suma
Pedro tiene 20 balones de basquet y Lorena tiene 89 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 86 pajaros en un arbol y se van volando 47 ¿Cuantos pajaros quedan?,Resta
profesor tiene 38 animales y le entregan 71 animales ¿Cuantos hay al final ?,Suma
hay 56 pajaros en un arbol y se van volando 21 ¿Cuantos pajaros quedan?,Resta
Ana tiene 9 balones de voley y Lorena tiene 14 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 77 pajaros en un arbol y se van volando 23 ¿Cuantos pajaros quedan?,Resta
hay 91 tortillas en una mesa y se comen 10 ¿Cuantos tortillas quedan?,Resta
Un carpitero tiene 73 lapices y excluye 51 lapices ¿Cuanto queda?,Resta
un cirujano tiene 10 teles y le dan 28 teles ¿Cuantos hay al final ?,Suma
un bombero tiene 24 carteras y suma 50 carteras ¿Cuantos hay en total?,Suma
hay 27 niños en clase y se van 87 ¿Cuantos niños quedan?,Resta
Pablo tiene 80 balones de futbol y Lorena tiene 20 balones de tenis ¿Cuantos balones hay en total?,Suma
jose tiene 46 relojes y suma 59 relojes ¿Cuantos hay en total?,Suma
pablito  tiene 99 frutas y le quitan 61 frutas ¿Cuantos tiene al final?,Resta
Cesar tiene 51 balones de futbol y Federico tiene 86 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 51 pajaros en un arbol y se van volando 86 ¿Cuantos pajaros quedan?,Resta
Ana tiene 23 balones de futbol y Pablo tiene 37 balones de basquet ¿Cuantos balones hay en total?,Suma
profesor tiene 57 pajaros y suma 45 pajaros ¿Cuantos hay en total?,Suma
Julio tiene 61 manzanas y Gustavo tiene 83 toronjas ¿Cuantos frutas hay en total?,Suma
hay 23 pajaros en un arbol y se van volando 39 ¿Cuantos pajaros quedan?,Resta
un actor tiene 60 piedras y le entregan 20 piedras ¿Cuantos tienen entre los dos?,Suma
hay 22 niños en clase y se van 14 ¿Cuantos niños quedan?,Resta
Cesar tiene 28 peras y Lorena tiene 4 toronjas ¿Cuantos frutas hay en total?,Suma
hay 11 niños en clase y se van 57 ¿Cuantos niños quedan?,Resta
perro tiene 54 sillas y le entregan 81 sillas ¿Cuantos hay en total?,Suma
pablito  tiene 25 animales y incluye 27 animales ¿Cuantos hay en total?,Suma
hay 47 pajaros en un arbol y se van volando 59 ¿Cuantos pajaros quedan?,Resta
pablito  tiene 59 coches y resta 21 coches ¿Cuantos le queda?,Resta
Ana tiene 47 toronjas y Lorena tiene 1 ciruela ¿Cuantos frutas hay en total?,Suma
hay 46 tortillas en una mesa y se comen 93 ¿Cuantos tortillas quedan?,Resta
Francisco tiene 71 balones de basquet y Julio tiene 10 balones de voley ¿Cuantos balones hay en total?,Suma
Roberto tiene 93 balones de rugby y Cesar tiene 37 balones de basquet ¿Cuantos balones hay en total?,Suma
medico tiene 70 coches y le extraen 26 coches ¿Cuantos le queda?,Resta
Lucas tiene 46 balones de tenis y Federico tiene 65 balones de futbol ¿Cuantos balones hay en total?,Suma
Francisco tiene 85 melocotones y Pablo tiene 29 coco ¿Cuantos frutas hay en total?,Suma
Pablo tiene 74 balones de tenis y Celeste tiene 54 balones de basquet ¿Cuantos balones hay en total?,Suma
medico tiene 9 sillas y le entregan 52 sillas ¿Cuantos hay en total?,Suma
piloto tiene 15 coches y con una diferencia 8 coches ¿Cuantos le queda?,Resta
profesor tiene 37 teles y le dan 16 teles ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 19 sillas y le dan 77 sillas ¿Cuantos hay en total?,Suma
un obrero tiene 33 unidades y incluye 65 unidades ¿Cuantos hay al final ?,Suma
hay 96 pajaros en un arbol y se van volando 64 ¿Cuantos pajaros quedan?,Resta
paloma tiene 89 piedras y le quitan 19 piedras ¿Cuantos tiene al final?,Resta
piloto tiene 31 piedras y suma 50 piedras ¿Cuantos hay al final ?,Suma
ingeniero tiene 33 piedras y incluye 22 piedras ¿Cuantos hay en total?,Suma
hay 71 niños en clase y se van 50 ¿Cuantos niños quedan?,Resta
hay 68 pajaros en un arbol y se van volando 31 ¿Cuantos pajaros quedan?,Resta
medico tiene 53 unidades y excluye 33 unidades ¿Cuantos tiene al final?,Resta
hay 71 pajaros en un arbol y se van volando 87 ¿Cuantos pajaros quedan?,Resta
un policia tiene 63 animales y incluye 4 animales ¿Cuantos hay en total?,Suma
Cesar tiene 85 balones de tenis y Gustavo tiene 69 balones de voley ¿Cuantos balones hay en total?,Suma
un obrero tiene 79 unidades y con una diferencia 6 unidades ¿Cuanto queda?,Resta
medico tiene 71 unidades y resta 65 unidades ¿Cuantos le queda?,Resta
hay 17 niños en clase y se van 99 ¿Cuantos niños quedan?,Resta
un actor tiene 41 animales y con una diferencia 36 animales ¿Cuanto queda?,Resta
un camarero tiene 1 piedras y suma 32 piedras ¿Cuantos tienen entre los dos?,Suma
Julio tiene 63 uvas y Celeste tiene 5 sandias ¿Cuantos frutas hay en total?,Suma
un profesor tiene 97 lapices y resta 34 lapices ¿Cuantos le queda?,Resta
un profesor tiene 97 sillas y le quitan 1 sillas ¿Cuanto queda?,Resta
Celeste tiene 6 balones de voley y Francisco tiene 79 balones de futbol ¿Cuantos balones hay en total?,Suma
pablito  tiene 17 teles y incluye 27 teles ¿Cuantos tienen entre los dos?,Suma
Julio tiene 25 balones de tenis y Lucas tiene 37 balones de rugby ¿Cuantos balones hay en total?,Suma
Pedro tiene 73 platano y Pablo tiene 56 manzanas ¿Cuantos frutas hay en total?,Suma
paloma tiene 63 lapices y resta 6 lapices ¿Cuanto queda?,Resta
hay 56 tortillas en una mesa y se comen 14 ¿Cuantos tortillas quedan?,Resta
Un carpitero tiene 57 teles y le extraen 27 teles ¿Cuantos tiene al final?,Resta
un camarero tiene 70 coches y le entregan 23 coches ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 84 animales y le extraen 72 animales ¿Cuanto queda?,Resta
un mecanico tiene 73 unidades y le extraen 23 unidades ¿Cuantos tiene al final?,Resta
perro tiene 31 frutas y le quitan 11 frutas ¿Cuantos le queda?,Resta
un profesor tiene 53 mesas y suma 22 mesas ¿Cuantos hay en total?,Suma
hay 69 pajaros en un arbol y se van volando 64 ¿Cuantos pajaros quedan?,Resta
Pablo tiene 81 balones de voley y Lorena tiene 94 balones de basquet ¿Cuantos balones hay en total?,Suma
un cirujano tiene 54 sillas y con una diferencia 20 sillas ¿Cuanto queda?,Resta
un obrero tiene 78 coches y le extraen 39 coches ¿Cuantos le queda?,Resta
hay 80 niños en clase y se van 66 ¿Cuantos niños quedan?,Resta
hay 27 niños en clase y se van 9 ¿Cuantos niños quedan?,Resta
hay 24 niños en clase y se van 10 ¿Cuantos niños quedan?,Resta
un policia tiene 100 balones y con una diferencia 52 balones ¿Cuanto queda?,Resta
programador tiene 69 moviles y le dan 26 moviles ¿Cuantos hay al final ?,Suma
cirujano tiene 90 moviles y añade 27 moviles ¿Cuantos hay al final ?,Suma
ingeniero tiene 96 frutas y le extraen 1 frutas ¿Cuantos tiene al final?,Resta
hay 15 niños en clase y se van 24 ¿Cuantos niños quedan?,Resta
un albañil tiene 53 carteras y le quitan 45 carteras ¿Cuanto queda?,Resta
hay 12 tortillas en una mesa y se comen 21 ¿Cuantos tortillas quedan?,Resta
Francisco tiene 98 platano y Julio tiene 45 uvas ¿Cuantos frutas hay en total?,Suma
hay 48 tortillas en una mesa y se comen 8 ¿Cuantos tortillas quedan?,Resta
hay 90 tortillas en una mesa y se comen 23 ¿Cuantos tortillas quedan?,Resta
Juan tiene 9 balones de rugby y Cesar tiene 29 balones de futbol ¿Cuantos balones hay en total?,Suma
un albañil tiene 69 lapices y con una diferencia 65 lapices ¿Cuantos tiene al final?,Resta
Lucas tiene 63 ciruela y Lorena tiene 85 uvas ¿Cuantos frutas hay en total?,Suma
un camarero tiene 100 mesas y le quitan 5 mesas ¿Cuantos tiene al final?,Resta
hay 66 pajaros en un arbol y se van volando 94 ¿Cuantos pajaros quedan?,Resta
Un carpitero tiene 39 carteras y le dan 92 carteras ¿Cuantos hay al final ?,Suma
Pablo tiene 83 balones de rugby y Francisco tiene 60 balones de tenis ¿Cuantos balones hay en total?,Suma
pablito  tiene 55 mesas y añade 99 mesas ¿Cuantos tienen entre los dos?,Suma
hay 32 tortillas en una mesa y se comen 42 ¿Cuantos tortillas quedan?,Resta
cirujano tiene 99 frutas y con una diferencia 73 frutas ¿Cuantos le queda?,Resta
un camarero tiene 89 unidades y le entregan 41 unidades ¿Cuantos hay en total?,Suma
Pedro tiene 96 platano y Celeste tiene 46 coco ¿Cuantos frutas hay en total?,Suma
Un carpitero tiene 81 relojes y suma 86 relojes ¿Cuantos tienen entre los dos?,Suma
hay 91 pajaros en un arbol y se van volando 65 ¿Cuantos pajaros quedan?,Resta
un obrero tiene 94 animales y resta 32 animales ¿Cuanto queda?,Resta
