Problema,Tipo
hay 12 tortillas en una mesa y se comen 21 ¿Cuantos tortillas quedan?,Resta
Lucas tiene 47 balones de rugby y Federico tiene 74 balones de rugby ¿Cuantos balones hay en total?,Suma
un obrero tiene 57 relojes y añade 26 relojes ¿Cuantos tienen entre los dos?,Suma
Lorena tiene 76 balones de rugby y Cesar tiene 90 balones de rugby ¿Cuantos balones hay en total?,Suma
un obrero tiene 87 mesas y excluye 18 mesas ¿Cuantos le queda?,Resta
una actriz tiene 1 frutas y suma 94 frutas ¿Cuantos tienen entre los dos?,Suma
hay 47 tortillas en una mesa y se comen 21 ¿Cuantos tortillas quedan?,Resta
un camarero tiene 34 carteras y suma 12 carteras ¿Cuantos hay en total?,Suma
Federico tiene 68 toronjas y Lorena tiene 70 platano ¿Cuantos frutas hay en total?,Suma
Cesar tiene 50 balones de voley y Gustavo tiene 53 balones de tenis ¿Cuantos balones hay en total?,Suma
Lorena tiene 50 balones de rugby y Gustavo tiene 1 balones de rugby ¿Cuantos balones hay en total?,Suma
fontanero tiene 68 coches y resta 3 coches ¿Cuantos tiene al final?,Resta
programador tiene 96 animales y le extraen 28 animales ¿Cuantos tiene al final?,Resta
Lucas tiene 46 balones de basquet y Celeste tiene 41 balones de rugby ¿Cuantos balones hay en total?,Suma
Pedro tiene 69 melocotones y Ana tiene 88 manzanas ¿Cuantos frutas hay en total?,Suma
una actriz tiene 84 lapices y excluye 79 lapices ¿Cuantos tiene al final?,Resta
un actor tiene 87 unidades y le entregan 74 unidades ¿Cuantos tienen entre los dos?,Suma
hay 35 tortillas en una mesa y se comen 41 ¿Cuantos tortillas quedan?,Resta
Roberto tiene 27 manzanas y Francisco tiene 25 ciruela ¿Cuantos frutas hay en total?,Suma
Una azafata tiene 94 sillas y le entregan 99 sillas ¿Cuantos tienen entre los dos?,Suma
medico tiene 75 unidades y añade 78 unidades ¿Cuantos hay en total?,Suma
cirujano tiene 79 piedras y le quitan 48 piedras ¿Cuantos tiene al final?,Resta
un camarero tiene 40 piedras y suma 80 piedras ¿Cuantos hay en total?,Suma
Juan tiene 82 coco y Lucas tiene 80 toronjas ¿Cuantos frutas hay en total?,Suma
Gustavo tiene 90 uvas y Celeste tiene 8 sandias ¿Cuantos frutas hay en total?,Suma
Cesar tiene 81 melocotones y Julio tiene 26 toronjas ¿Cuantos frutas hay en total?,Suma
hay 98 tortillas en una mesa y se comen 74 ¿Cuantos tortillas quedan?,Resta
un camarero tiene 35 animales y le dan 77 animales ¿Cuantos tienen entre los dos?,Suma
programador tiene 56 piedras y añade 36 piedras ¿Cuantos tienen entre los dos?,Suma
Una azafata tiene 86 lapices y con una diferencia 15 lapices ¿Cuantos tiene al final?,Resta
un camarero tiene 78 sillas y añade 43 sillas ¿Cuantos hay al final ?,Suma
Julio tiene 33 platano y Pablo tiene 64 manzanas ¿Cuantos frutas hay en total?,Suma
perro tiene 25 unidades y le dan 96 unidades ¿Cuantos hay al final ?,Suma
medico tiene 58 carteras y resta 30 carteras ¿Cuantos tiene al final?,Resta
hay 31 niños en clase y se van 1 ¿Cuantos niños quedan?,Resta
hay 75 niños en clase y se van 27 ¿Cuantos niños quedan?,Resta
hay 66 pajaros en un arbol y se van volando 92 ¿Cuantos pajaros quedan?,Resta
hay 81 pajaros en un arbol y se van volando 9 ¿Cuantos pajaros quedan?,Resta
Julio tiene 80 toronjas y Juan tiene 47 toronjas ¿Cuantos frutas hay en total?,Suma
hay 9 tortillas en una mesa y se comen 57 ¿Cuantos tortillas quedan?,Resta
hay 70 tortillas en una mesa y se comen 86 ¿Cuantos tortillas quedan?,Resta
piloto tiene 57 teles y le entregan 99 teles ¿Cuantos hay en total?,Suma
una actriz tiene 93 sillas y excluye 30 sillas ¿Cuanto queda?,Resta
Pablo tiene 35 platano y Juan tiene 57 ciruela ¿Cuantos frutas hay en total?,Suma
hay 40 niños en clase y se van 55 ¿Cuantos niños quedan?,Resta
hay 77 tortillas en una mesa y se comen 33 ¿Cuantos tortillas quedan?,Resta
hay 59 pajaros en un arbol y se van volando 59 ¿Cuantos pajaros quedan?,Resta
hay 56 tortillas en una mesa y se comen 91 ¿Cuantos tortillas quedan?,Resta
un mecanico tiene 85 moviles y con una diferencia 22 moviles ¿Cuantos le queda?,Resta
Lucas tiene 54 balones de tenis y Juan tiene 95 balones de futbol ¿Cuantos balones hay en total?,Suma
un policia tiene 62 lapices y le quitan 58 lapices ¿Cuantos le queda?,Resta
hay 14 tortillas en una mesa y se comen 25 ¿Cuantos tortillas quedan?,Resta
ingeniero tiene 73 canicas y excluye 39 canicas ¿Cuanto queda?,Resta
hay 68 pajaros en un arbol y se van volando 76 ¿Cuantos pajaros quedan?,Resta
jose tiene 23 sillas y le dan 48 sillas ¿Cuantos tienen entre los dos?,Suma
Juan tiene 4 uvas y Federico tiene 12 sandias ¿Cuantos frutas hay en total?,Suma
Gustavo tiene 68 balones de voley y Lorena tiene 92 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 86 pajaros en un arbol y se van volando 1 ¿Cuantos pajaros quedan?,Resta
hay 20 pajaros en un arbol y se van volando 11 ¿Cuantos pajaros quedan?,Resta
un perro tiene 29 frutas y suma 69 frutas ¿Cuantos hay al final ?,Suma
cirujano tiene 15 pajaros y resta 15 pajaros ¿Cuantos le queda?,Resta
Francisco tiene 21 uvas y Juan tiene 31 peras ¿Cuantos frutas hay en total?,Suma
Cesar tiene 49 uvas y Federico tiene 90 platano ¿Cuantos frutas hay en total?,Suma
Ana tiene 31 uvas y Pedro tiene 89 ciruela ¿Cuantos frutas hay en total?,Suma
paloma tiene 56 relojes y le quitan 2 relojes ¿Cuanto queda?,Resta
hay 71 tortillas en una mesa y se comen 65 ¿Cuantos tortillas quedan?,Resta
Gustavo tiene 55 manzanas y Ana tiene 97 manzanas ¿Cuantos frutas hay en total?,Suma
un obrero tiene 82 sillas y resta 58 sillas ¿Cuanto queda?,Resta
ingeniero tiene 22 carteras y con una diferencia 22 carteras ¿Cuantos le queda?,Resta
un perro tiene 43 animales y excluye 19 animales ¿Cuantos le queda?,Resta
un obrero tiene 60 mesas y le entregan 60 mesas ¿Cuantos hay al final ?,Suma
Cesar tiene 50 papayas y Julio tiene 35 peras ¿Cuantos frutas hay en total?,Suma
paloma tiene 38 sillas y le entregan 62 sillas ¿Cuantos hay al final ?,Suma
un obrero tiene 95 canicas y le quitan 51 canicas ¿Cuantos le queda?,Resta
un policia tiene 43 relojes y suma 91 relojes ¿Cuantos hay al final ?,Suma
Roberto tiene 26 manzanas y Celeste tiene 27 manzanas ¿Cuantos frutas hay en total?,Suma
Lucas tiene 69 manzanas y Julio tiene 91 peras ¿Cuantos frutas hay en total?,Suma
Francisco tiene 96 balones de voley y Lucas tiene 15 balones de tenis ¿Cuantos balones hay en total?,Suma
Lucas tiene 65 melocotones y Cesar tiene 62 melocotones ¿Cuantos frutas hay en total?,Suma
hay 100 tortillas en una mesa y se comen 33 ¿Cuantos tortillas quedan?,Resta
hay 11 niños en clase y se van 64 ¿Cuantos niños quedan?,Resta
Pablo tiene 42 uvas y Francisco tiene 36 toronjas ¿Cuantos frutas hay en total?,Suma
Francisco tiene 39 balones de rugby y Lucas tiene 72 balones de tenis ¿Cuantos balones hay en total?,Suma
hay 72 pajaros en un arbol y se van volando 17 ¿Cuantos pajaros quedan?,Resta
piloto tiene 71 canicas y con una diferencia 62 canicas ¿Cuantos le queda?,Resta
Pedro tiene 5 balones de voley y Federico tiene 29 balones de tenis ¿Cuantos balones hay en total?,Suma
hay 96 pajaros en un arbol y se van volando 67 ¿Cuantos pajaros quedan?,Resta
fontanero tiene 62 coches y le quitan 46 coches ¿Cuantos tiene al final?,Resta
hay 53 tortillas en una mesa y se comen 45 ¿Cuantos tortillas quedan?,Resta
un actor tiene 59 teles y suma 84 teles ¿Cuantos hay al final ?,Suma
jose tiene 54 sillas y con una diferencia 26 sillas ¿Cuantos tiene al final?,Resta
un perro tiene 42 piedras y suma 71 piedras ¿Cuantos hay en total?,Suma
Gustavo tiene 40 balones de basquet y Juan tiene 30 balones de voley ¿Cuantos balones hay en total?,Suma
Enrique tiene 87 canicas y le extraen 56 canicas ¿Cuantos tiene al final?,Resta
hay 7 tortillas en una mesa y se comen 51 ¿Cuantos tortillas quedan?,Resta
ingeniero tiene 4 frutas y le dan 77 frutas ¿Cuantos hay en total?,Suma
un actor tiene 76 animales y le quitan 38 animales ¿Cuantos le queda?,Resta
Lucas tiene 72 balones de rugby y Ana tiene 9 balones de futbol ¿Cuantos balones hay en total?,Suma
paloma tiene 93 frutas y resta 69 frutas ¿Cuantos tiene al final?,Resta
hay 46 niños en clase y se van 24 ¿Cuantos niños quedan?,Resta
medico tiene 81 teles y incluye 86 teles ¿Cuantos tienen entre los dos?,Suma
Federico tiene 92 peras y Lorena tiene 20 manzanas ¿Cuantos frutas hay en total?,Suma
hay 79 tortillas en una mesa y se comen 100 ¿Cuantos tortillas quedan?,Resta
hay 23 niños en clase y se van 86 ¿Cuantos niños quedan?,Resta
un bombero tiene 31 relojes y le quitan 9 relojes ¿Cuantos tiene al final?,Resta
perro tiene 6 unidades y le dan 69 unidades ¿Cuantos hay en total?,Suma
un albañil tiene 66 canicas y incluye 67 canicas ¿Cuantos hay en total?,Suma
Francisco tiene 85 ciruela y Julio tiene 56 coco ¿Cuantos frutas hay en total?,Suma
hay 65 tortillas en una mesa y se comen 12 ¿Cuantos tortillas quedan?,Resta
hay 44 tortillas en una mesa y se comen 47 ¿Cuantos tortillas quedan?,Resta
un obrero tiene 40 frutas y le entregan 77 frutas ¿Cuantos tienen entre los dos?,Suma
hay 57 pajaros en un arbol y se van volando 91 ¿Cuantos pajaros quedan?,Resta
Pedro tiene 49 balones de basquet y Cesar tiene 4 balones de tenis ¿Cuantos balones hay en total?,Suma
Una azafata tiene 84 balones y le entregan 41 balones ¿Cuantos tienen entre los dos?,Suma
un policia tiene 35 teles y excluye 26 teles ¿Cuantos tiene al final?,Resta
cirujano tiene 34 mesas y incluye 8 mesas ¿Cuantos hay al final ?,Suma
un cirujano tiene 63 canicas y le dan 39 canicas ¿Cuantos tienen entre los dos?,Suma
perro tiene 29 mesas y añade 52 mesas ¿Cuantos hay en total?,Suma
hay 55 tortillas en una mesa y se comen 58 ¿Cuantos tortillas quedan?,Resta
un policia tiene 80 teles y suma 86 teles ¿Cuantos hay al final ?,Suma
jose tiene 76 moviles y le extraen 60 moviles ¿Cuanto queda?,Resta
Lorena tiene 64 melocotones y Julio tiene 89 melocotones ¿Cuantos frutas hay en total?,Suma
paloma tiene 41 animales y le quitan 38 animales ¿Cuanto queda?,Resta
paloma tiene 84 relojes y añade 18 relojes ¿Cuantos hay al final ?,Suma
programador tiene 49 canicas y resta 8 canicas ¿Cuantos le queda?,Resta
hay 16 pajaros en un arbol y se van volando 11 ¿Cuantos pajaros quedan?,Resta
Gustavo tiene 15 balones de tenis y Lucas tiene 7 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 94 pajaros en un arbol y se van volando 89 ¿Cuantos pajaros quedan?,Resta
fontanero tiene 80 animales y le quitan 17 animales ¿Cuantos le queda?,Resta
jose tiene 51 moviles y con una diferencia 6 moviles ¿Cuanto queda?,Resta
jose tiene 92 mesas y con una diferencia 37 mesas ¿Cuanto queda?,Resta
fontanero tiene 6 balones y le dan 56 balones ¿Cuantos hay al final ?,Suma
un bombero tiene 100 carteras y le extraen 91 carteras ¿Cuantos tiene al final?,Resta
un albañil tiene 96 lapices y le quitan 45 lapices ¿Cuantos tiene al final?,Resta
fontanero tiene 89 mesas y excluye 83 mesas ¿Cuantos tiene al final?,Resta
Una azafata tiene 85 relojes y excluye 18 relojes ¿Cuantos tiene al final?,Resta
hay 77 pajaros en un arbol y se van volando 6 ¿Cuantos pajaros quedan?,Resta
un albañil tiene 52 carteras y le quitan 16 carteras ¿Cuantos le queda?,Resta
hay 58 niños en clase y se van 54 ¿Cuantos niños quedan?,Resta
hay 98 niños en clase y se van 95 ¿Cuantos niños quedan?,Resta
un camarero tiene 62 canicas y suma 58 canicas ¿Cuantos tienen entre los dos?,Suma
un profesor tiene 75 balones y añade 86 balones ¿Cuantos hay al final ?,Suma
hay 31 niños en clase y se van 21 ¿Cuantos niños quedan?,Resta
un bombero tiene 88 mesas y le extraen 23 mesas ¿Cuantos le queda?,Resta
Ana tiene 77 balones de futbol y Federico tiene 74 balones de futbol ¿Cuantos balones hay en total?,Suma
Gustavo tiene 34 platano y Federico tiene 28 ciruela ¿Cuantos frutas hay en total?,Suma
hay 49 tortillas en una mesa y se comen 70 ¿Cuantos tortillas quedan?,Resta
hay 94 tortillas en una mesa y se comen 2 ¿Cuantos tortillas quedan?,Resta
Un carpitero tiene 29 unidades y le quitan 6 unidades ¿Cuanto queda?,Resta
un camarero tiene 90 unidades y incluye 10 unidades ¿Cuantos hay en total?,Suma
un obrero tiene 17 balones y le dan 30 balones ¿Cuantos tienen entre los dos?,Suma
Francisco tiene 8 balones de futbol y Cesar tiene 90 balones de voley ¿Cuantos balones hay en total?,Suma
jose tiene 58 coches y añade 43 coches ¿Cuantos tienen entre los dos?,Suma
Gustavo tiene 8 uvas y Lorena tiene 79 manzanas ¿Cuantos frutas hay en total?,Suma
un obrero tiene 91 piedras y con una diferencia 9 piedras ¿Cuanto queda?,Resta
hay 6 niños en clase y se van 58 ¿Cuantos niños quedan?,Resta
fontanero tiene 70 piedras y excluye 17 piedras ¿Cuantos le queda?,Resta
Pedro tiene 82 sandias y Julio tiene 69 peras ¿Cuantos frutas hay en total?,Suma
Celeste tiene 99 balones de voley y Cesar tiene 94 balones de basquet ¿Cuantos balones hay en total?,Suma
Federico tiene 63 balones de rugby y Roberto tiene 51 balones de basquet ¿Cuantos balones hay en total?,Suma
Un carpitero tiene 54 teles y le extraen 16 teles ¿Cuantos tiene al final?,Resta
un obrero tiene 55 lapices y incluye 43 lapices ¿Cuantos hay al final ?,Suma
Pablo tiene 51 balones de tenis y Federico tiene 69 balones de tenis ¿Cuantos balones hay en total?,Suma
programador tiene 83 animales y le dan 38 animales ¿Cuantos hay al final ?,Suma
hay 72 pajaros en un arbol y se van volando 23 ¿Cuantos pajaros quedan?,Resta
hay 55 niños en clase y se van 34 ¿Cuantos niños quedan?,Resta
Pablo tiene 40 balones de basquet y Federico tiene 16 balones de rugby ¿Cuantos balones hay en total?,Suma
Enrique tiene 94 frutas y le extraen 36 frutas ¿Cuanto queda?,Resta
jose tiene 75 relojes y le extraen 58 relojes ¿Cuantos tiene al final?,Resta
hay 93 pajaros en un arbol y se van volando 62 ¿Cuantos pajaros quedan?,Resta
hay 80 tortillas en una mesa y se comen 21 ¿Cuantos tortillas quedan?,Resta
perro tiene 97 mesas y añade 55 mesas ¿Cuantos tienen entre los dos?,Suma
un perro tiene 64 teles y con una diferencia 48 teles ¿Cuantos le queda?,Resta
Cesar tiene 36 papayas y Ana tiene 98 ciruela ¿Cuantos frutas hay en total?,Suma
hay 90 niños en clase y se van 74 ¿Cuantos niños quedan?,Resta
cirujano tiene 48 relojes y suma 19 relojes ¿Cuantos hay en total?,Suma
un obrero tiene 69 lapices y excluye 23 lapices ¿Cuantos tiene al final?,Resta
Juan tiene 26 sandias y Lorena tiene 5 peras ¿Cuantos frutas hay en total?,Suma
hay 65 tortillas en una mesa y se comen 89 ¿Cuantos tortillas quedan?,Resta
Enrique tiene 54 canicas y le dan 28 canicas ¿Cuantos tienen entre los dos?,Suma
hay 42 tortillas en una mesa y se comen 21 ¿Cuantos tortillas quedan?,Resta
paloma tiene 92 unidades y le quitan 57 unidades ¿Cuantos le queda?,Resta
programador tiene 73 sillas y excluye 73 sillas ¿Cuanto queda?,Resta
Lucas tiene 91 balones de voley y Juan tiene 43 balones de basquet ¿Cuantos balones hay en total?,Suma
programador tiene 17 lapices y resta 15 lapices ¿Cuanto queda?,Resta
hay 45 pajaros en un arbol y se van volando 66 ¿Cuantos pajaros quedan?,Resta
Juan tiene 77 balones de basquet y Pedro tiene 1 balones de voley ¿Cuantos balones hay en total?,Suma
un camarero tiene 67 moviles y excluye 20 moviles ¿Cuantos tiene al final?,Resta
hay 7 niños en clase y se van 62 ¿Cuantos niños quedan?,Resta
piloto tiene 13 carteras y añade 97 carteras ¿Cuantos tienen entre los dos?,Suma
piloto tiene 41 carteras y le dan 20 carteras ¿Cuantos hay en total?,Suma
perro tiene 60 canicas y le entregan 64 canicas ¿Cuantos hay en total?,Suma
cirujano tiene 57 unidades y le entregan 99 unidades ¿Cuantos hay al final ?,Suma
Gustavo tiene 67 balones de basquet y Pedro tiene 36 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 51 pajaros en un arbol y se van volando 27 ¿Cuantos pajaros quedan?,Resta
hay 42 pajaros en un arbol y se van volando 74 ¿Cuantos pajaros quedan?,Resta
hay 22 tortillas en una mesa y se comen 67 ¿Cuantos tortillas quedan?,Resta
ingeniero tiene 26 unidades y le entregan 75 unidades ¿Cuantos tienen entre los dos?,Suma
un profesor tiene 96 frutas y suma 70 frutas ¿Cuantos hay al final ?,Suma
hay 26 pajaros en un arbol y se van volando 47 ¿Cuantos pajaros quedan?,Resta
un profesor tiene 65 unidades y le dan 31 unidades ¿Cuantos hay en total?,Suma
hay 15 tortillas en una mesa y se comen 56 ¿Cuantos tortillas quedan?,Resta
cirujano tiene 62 balones y le quitan 33 balones ¿Cuantos tiene al final?,Resta
hay 51 tortillas en una mesa y se comen 40 ¿Cuantos tortillas quedan?,Resta
Julio tiene 91 toronjas y Ana tiene 16 ciruela ¿Cuantos frutas hay en total?,Suma
un cirujano tiene 21 coches y incluye 35 coches ¿Cuantos hay en total?,Suma
un actor tiene 86 relojes y añade 71 relojes ¿Cuantos hay al final ?,Suma
un albañil tiene 49 mesas y le extraen 45 mesas ¿Cuanto queda?,Resta
hay 50 niños en clase y se van 81 ¿Cuantos niños quedan?,Resta
hay 36 tortillas en una mesa y se comen 60 ¿Cuantos tortillas quedan?,Resta
perro tiene 99 canicas y incluye 75 canicas ¿Cuantos tienen entre los dos?,Suma
un policia tiene 87 teles y suma 73 teles ¿Cuantos hay en total?,Suma
un actor tiene 94 frutas y resta 32 frutas ¿Cuantos tiene al final?,Resta
hay 2 niños en clase y se van 98 ¿Cuantos niños quedan?,Resta
un obrero tiene 82 coches y suma 9 coches ¿Cuantos hay en total?,Suma
hay 22 niños en clase y se van 43 ¿Cuantos niños quedan?,Resta
un cirujano tiene 92 balones y le quitan 56 balones ¿Cuantos le queda?,Resta
Enrique tiene 84 balones y le entregan 68 balones ¿Cuantos tienen entre los dos?,Suma
Ana tiene 67 melocotones y Pedro tiene 77 platano ¿Cuantos frutas hay en total?,Suma
Roberto tiene 39 balones de futbol y Cesar tiene 88 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 10 tortillas en una mesa y se comen 4 ¿Cuantos tortillas quedan?,Resta
Lucas tiene 66 balones de basquet y Ana tiene 67 balones de tenis ¿Cuantos balones hay en total?,Suma
pablito  tiene 97 lapices y le entregan 49 lapices ¿Cuantos hay en total?,Suma
Francisco tiene 1 ciruela y Ana tiene 46 uvas ¿Cuantos frutas hay en total?,Suma
Enrique tiene 4 teles y incluye 2 teles ¿Cuantos hay en total?,Suma
hay 49 niños en clase y se van 27 ¿Cuantos niños quedan?,Resta
Roberto tiene 45 ciruela y Lucas tiene 35 toronjas ¿Cuantos frutas hay en total?,Suma
un mecanico tiene 1 unidades y suma 19 unidades ¿Cuantos hay en total?,Suma
Una azafata tiene 49 animales y le quitan 22 animales ¿Cuanto queda?,Resta
un camarero tiene 88 teles y añade 5 teles ¿Cuantos hay en total?,Suma
ingeniero tiene 35 carteras y le extraen 16 carteras ¿Cuanto queda?,Resta
un camarero tiene 99 carteras y con una diferencia 84 carteras ¿Cuantos tiene al final?,Resta
un perro tiene 7 mesas y suma 83 mesas ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 32 lapices y le dan 42 lapices ¿Cuantos hay en total?,Suma
hay 11 pajaros en un arbol y se van volando 95 ¿Cuantos pajaros quedan?,Resta
Lorena tiene 55 uvas y Cesar tiene 79 melocotones ¿Cuantos frutas hay en total?,Suma
Celeste tiene 18 balones de futbol y Francisco tiene 25 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 77 niños en clase y se van 83 ¿Cuantos niños quedan?,Resta
un obrero tiene 85 piedras y resta 83 piedras ¿Cuantos le queda?,Resta
hay 80 tortillas en una mesa y se comen 73 ¿Cuantos tortillas quedan?,Resta
profesor tiene 43 coches y le extraen 8 coches ¿Cuanto queda?,Resta
un obrero tiene 35 carteras y le dan 64 carteras ¿Cuantos hay al final ?,Suma
paloma tiene 33 moviles y añade 63 moviles ¿Cuantos hay en total?,Suma
hay 52 niños en clase y se van 32 ¿Cuantos niños quedan?,Resta
Francisco tiene 23 balones de voley y Cesar tiene 14 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 9 pajaros en un arbol y se van volando 88 ¿Cuantos pajaros quedan?,Resta
un bombero tiene 94 canicas y le extraen 56 canicas ¿Cuanto queda?,Resta
paloma tiene 48 teles y le dan 70 teles ¿Cuantos hay al final ?,Suma
ingeniero tiene 38 mesas y incluye 42 mesas ¿Cuantos tienen entre los dos?,Suma
hay 30 tortillas en una mesa y se comen 9 ¿Cuantos tortillas quedan?,Resta
un cirujano tiene 32 canicas y incluye 79 canicas ¿Cuantos hay al final ?,Suma
Juan tiene 91 balones de futbol y Federico tiene 91 balones de tenis ¿Cuantos balones hay en total?,Suma
Un carpitero tiene 80 pajaros y le extraen 5 pajaros ¿Cuantos tiene al final?,Resta
piloto tiene 52 animales y suma 69 animales ¿Cuantos tienen entre los dos?,Suma
una actriz tiene 30 canicas y le dan 47 canicas ¿Cuantos hay en total?,Suma
ingeniero tiene 15 coches y añade 74 coches ¿Cuantos hay en total?,Suma
un mecanico tiene 48 pajaros y resta 40 pajaros ¿Cuantos le queda?,Resta
hay 24 niños en clase y se van 28 ¿Cuantos niños quedan?,Resta
ingeniero tiene 76 carteras y le extraen 69 carteras ¿Cuanto queda?,Resta
Una azafata tiene 24 moviles y incluye 36 moviles ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 42 balones y suma 82 balones ¿Cuantos hay al final ?,Suma
paloma tiene 30 moviles y añade 11 moviles ¿Cuantos hay al final ?,Suma
hay 35 niños en clase y se van 43 ¿Cuantos niños quedan?,Resta
un mecanico tiene 98 coches y con una diferencia 58 coches ¿Cuantos tiene al final?,Resta
Cesar tiene 83 balones de basquet y Francisco tiene 18 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 50 tortillas en una mesa y se comen 85 ¿Cuantos tortillas quedan?,Resta
cirujano tiene 97 frutas y le extraen 18 frutas ¿Cuantos le queda?,Resta
fontanero tiene 44 unidades y le quitan 13 unidades ¿Cuantos tiene al final?,Resta
hay 28 pajaros en un arbol y se van volando 54 ¿Cuantos pajaros quedan?,Resta
un bombero tiene 78 relojes y con una diferencia 47 relojes ¿Cuantos tiene al final?,Resta
Federico tiene 50 balones de basquet y Pablo tiene 9 balones de basquet ¿Cuantos balones hay en total?,Suma
un obrero tiene 53 lapices y suma 84 lapices ¿Cuantos hay en total?,Suma
Julio tiene 15 balones de tenis y Pedro tiene 23 balones de basquet ¿Cuantos balones hay en total?,Suma
Gustavo tiene 94 balones de basquet y Pedro tiene 38 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 17 pajaros en un arbol y se van volando 7 ¿Cuantos pajaros quedan?,Resta
hay 10 niños en clase y se van 83 ¿Cuantos niños quedan?,Resta
Pablo tiene 10 balones de futbol y Celeste tiene 92 balones de rugby ¿Cuantos balones hay en total?,Suma
Celeste tiene 72 balones de tenis y Ana tiene 62 balones de futbol ¿Cuantos balones hay en total?,Suma
pablito  tiene 58 teles y le quitan 50 teles ¿Cuantos tiene al final?,Resta
un policia tiene 25 animales y suma 41 animales ¿Cuantos hay al final ?,Suma
un obrero tiene 36 mesas y le entregan 23 mesas ¿Cuantos tienen entre los dos?,Suma
hay 43 niños en clase y se van 47 ¿Cuantos niños quedan?,Resta
pablito  tiene 33 moviles y añade 71 moviles ¿Cuantos hay en total?,Suma
ingeniero tiene 78 frutas y suma 71 frutas ¿Cuantos tienen entre los dos?,Suma
hay 41 pajaros en un arbol y se van volando 33 ¿Cuantos pajaros quedan?,Resta
un perro tiene 36 balones y suma 81 balones ¿Cuantos hay en total?,Suma
un obrero tiene 85 carteras y le entregan 73 carteras ¿Cuantos hay en total?,Suma
hay 15 tortillas en una mesa y se comen 10 ¿Cuantos tortillas quedan?,Resta
