Problema,Respuesta
hay 95 tortillas en una mesa y se comen 76 ¿Cuantos tortillas quedan?,Quedan 19 tortillas
Julio tiene 8 balones de rugby y Cesar tiene 44 balones de tenis ¿Cuantos balones hay en total?,En total hay 52 balones
un actor tiene 77 teles y suma 22 teles ¿Cuantos hay en total?,En total hay 99 teles
Pedro tiene 77 coco y Celeste tiene 1 coco ¿Cuantos frutas hay en total?,En total hay 78 frutas
hay 33 niños en clase y se van 76 ¿Cuantos niños quedan?,Quedan 43 niños
pablito  tiene 83 unidades y excluye 72 unidades ¿Cuantos tiene al final?,Al final tiene 11 unidades
hay 28 tortillas en una mesa y se comen 94 ¿Cuantos tortillas quedan?,Quedan 66 tortillas
hay 9 niños en clase y se van 58 ¿Cuantos niños quedan?,Quedan 49 niños
Francisco tiene 85 balones de voley y Gustavo tiene 17 balones de tenis ¿Cuantos balones hay en total?,En total hay 102 balones
Francisco tiene 89 balones de futbol y Julio tiene 80 balones de futbol ¿Cuantos balones hay en total?,En total hay 169 balones
hay 72 pajaros en un arbol y se van volando 47 ¿Cuantos pajaros quedan?,Quedan 25 pajaros
Roberto tiene 1 balones de futbol y Pablo tiene 61 balones de rugby ¿Cuantos balones hay en total?,En total hay 62 balones
hay 59 tortillas en una mesa y se comen 93 ¿Cuantos tortillas quedan?,Quedan 34 tortillas
programador tiene 60 balones y le entregan 45 balones ¿Cuantos hay en total?,En total hay 105 balones
pablito  tiene 36 carteras y resta 23 carteras ¿Cuantos le queda?,Le queda 13 carteras
hay 95 niños en clase y se van 24 ¿Cuantos niños quedan?,Quedan 71 niños
Gustavo tiene 36 balones de voley y Lorena tiene 31 balones de futbol ¿Cuantos balones hay en total?,En total hay 67 balones
Un carpitero tiene 94 teles y resta 85 teles ¿Cuantos tiene al final?,Al final tiene 9 teles
Lucas tiene 46 balones de rugby y Pedro tiene 6 balones de rugby ¿Cuantos balones hay en total?,En total hay 52 balones
jose tiene 82 sillas y le quitan 56 sillas ¿Cuantos le queda?,Le queda 26 sillas
un camarero tiene 64 lapices y incluye 54 lapices ¿Cuantos hay en total?,En total hay 118 lapices
un perro tiene 76 sillas y con una diferencia 17 sillas ¿Cuanto queda?,Queda 59 sillas
hay 70 niños en clase y se van 65 ¿Cuantos niños quedan?,Quedan 5 niños
un perro tiene 1 carteras y suma 1 carteras ¿Cuantos hay en total?,En total hay 2 carteras
Juan tiene 5 sandias y Ana tiene 18 sandias ¿Cuantos frutas hay en total?,En total hay 23 frutas
Gustavo tiene 38 balones de rugby y Pedro tiene 52 balones de rugby ¿Cuantos balones hay en total?,En total hay 90 balones
un policia tiene 100 pajaros y le quitan 96 pajaros ¿Cuantos le queda?,Le queda 4 pajaros
hay 28 niños en clase y se van 61 ¿Cuantos niños quedan?,Quedan 33 niños
Roberto tiene 92 peras y Juan tiene 76 melocotones ¿Cuantos frutas hay en total?,En total hay 168 frutas
un camarero tiene 69 carteras y le quitan 52 carteras ¿Cuantos tiene al final?,Al final tiene 17 carteras
un cirujano tiene 69 frutas y le entregan 34 frutas ¿Cuantos hay al final ?,Al final hay 103 frutas
pablito  tiene 92 canicas y incluye 65 canicas ¿Cuantos hay al final ?,Al final hay 157 canicas
hay 23 niños en clase y se van 13 ¿Cuantos niños quedan?,Quedan 10 niños
pablito  tiene 56 coches y le quitan 26 coches ¿Cuantos tiene al final?,Al final tiene 30 coches
un policia tiene 55 animales y excluye 43 animales ¿Cuantos le queda?,Le queda 12 animales
hay 55 pajaros en un arbol y se van volando 93 ¿Cuantos pajaros quedan?,Quedan 38 pajaros
programador tiene 68 relojes y le dan 28 relojes ¿Cuantos hay en total?,En total hay 96 relojes
profesor tiene 84 pajaros y le quitan 53 pajaros ¿Cuantos le queda?,Le queda 31 pajaros
Gustavo tiene 8 peras y Francisco tiene 87 sandias ¿Cuantos frutas hay en total?,En total hay 95 frutas
cirujano tiene 32 canicas y añade 29 canicas ¿Cuantos hay al final ?,Al final hay 61 canicas
un cirujano tiene 47 balones y excluye 27 balones ¿Cuantos tiene al final?,Al final tiene 20 balones
hay 23 niños en clase y se van 49 ¿Cuantos niños quedan?,Quedan 26 niños
un camarero tiene 89 coches y le extraen 2 coches ¿Cuantos tiene al final?,Al final tiene 87 coches
Una azafata tiene 91 frutas y incluye 30 frutas ¿Cuantos hay en total?,En total hay 121 frutas
pablito  tiene 37 teles y excluye 4 teles ¿Cuantos le queda?,Le queda 33 teles
Pedro tiene 95 papayas y Federico tiene 48 manzanas ¿Cuantos frutas hay en total?,En total hay 143 frutas
un cirujano tiene 76 lapices y suma 6 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 82 lapices
programador tiene 66 mesas y incluye 20 mesas ¿Cuantos hay al final ?,Al final hay 86 mesas
jose tiene 89 mesas y incluye 83 mesas ¿Cuantos hay en total?,En total hay 172 mesas
fontanero tiene 1 coches y incluye 96 coches ¿Cuantos tienen entre los dos?,Entre los dos tienen 97 coches
Gustavo tiene 72 toronjas y Francisco tiene 57 papayas ¿Cuantos frutas hay en total?,En total hay 129 frutas
un camarero tiene 73 relojes y le quitan 71 relojes ¿Cuantos le queda?,Le queda 2 relojes
hay 82 tortillas en una mesa y se comen 17 ¿Cuantos tortillas quedan?,Quedan 65 tortillas
fontanero tiene 54 mesas y le entregan 91 mesas ¿Cuantos hay al final ?,Al final hay 145 mesas
jose tiene 56 moviles y resta 29 moviles ¿Cuantos tiene al final?,Al final tiene 27 moviles
un perro tiene 73 mesas y añade 39 mesas ¿Cuantos tienen entre los dos?,Entre los dos tienen 112 mesas
Pablo tiene 29 balones de rugby y Ana tiene 97 balones de voley ¿Cuantos balones hay en total?,En total hay 126 balones
un bombero tiene 22 mesas y con una diferencia 18 mesas ¿Cuantos tiene al final?,Al final tiene 4 mesas
perro tiene 68 canicas y incluye 94 canicas ¿Cuantos tienen entre los dos?,Entre los dos tienen 162 canicas
profesor tiene 41 moviles y suma 57 moviles ¿Cuantos hay al final ?,Al final hay 98 moviles
Gustavo tiene 26 toronjas y Roberto tiene 34 melocotones ¿Cuantos frutas hay en total?,En total hay 60 frutas
Pablo tiene 68 balones de futbol y Ana tiene 17 balones de futbol ¿Cuantos balones hay en total?,En total hay 85 balones
Un carpitero tiene 74 canicas y le quitan 36 canicas ¿Cuantos le queda?,Le queda 38 canicas
un albañil tiene 25 sillas y suma 77 sillas ¿Cuantos hay al final ?,Al final hay 102 sillas
Lorena tiene 56 balones de voley y Celeste tiene 15 balones de tenis ¿Cuantos balones hay en total?,En total hay 71 balones
Federico tiene 86 balones de futbol y Lorena tiene 53 balones de futbol ¿Cuantos balones hay en total?,En total hay 139 balones
una actriz tiene 69 moviles y excluye 16 moviles ¿Cuanto queda?,Queda 53 moviles
Pablo tiene 48 balones de futbol y Juan tiene 2 balones de futbol ¿Cuantos balones hay en total?,En total hay 50 balones
hay 67 pajaros en un arbol y se van volando 41 ¿Cuantos pajaros quedan?,Quedan 26 pajaros
Roberto tiene 89 toronjas y Francisco tiene 67 melocotones ¿Cuantos frutas hay en total?,En total hay 156 frutas
un bombero tiene 25 moviles y le dan 46 moviles ¿Cuantos hay en total?,En total hay 71 moviles
un obrero tiene 31 carteras y incluye 33 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 64 carteras
Roberto tiene 27 platano y Gustavo tiene 70 toronjas ¿Cuantos frutas hay en total?,En total hay 97 frutas
un actor tiene 40 lapices y añade 89 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 129 lapices
pablito  tiene 76 relojes y añade 83 relojes ¿Cuantos hay en total?,En total hay 159 relojes
un obrero tiene 80 animales y le extraen 70 animales ¿Cuanto queda?,Queda 10 animales
un profesor tiene 69 lapices y le entregan 16 lapices ¿Cuantos hay al final ?,Al final hay 85 lapices
paloma tiene 85 carteras y excluye 3 carteras ¿Cuantos le queda?,Le queda 82 carteras
ingeniero tiene 13 relojes y incluye 6 relojes ¿Cuantos hay en total?,En total hay 19 relojes
Celeste tiene 14 balones de rugby y Pedro tiene 72 balones de voley ¿Cuantos balones hay en total?,En total hay 86 balones
ingeniero tiene 97 piedras y excluye 48 piedras ¿Cuantos tiene al final?,Al final tiene 49 piedras
Roberto tiene 74 balones de voley y Gustavo tiene 58 balones de basquet ¿Cuantos balones hay en total?,En total hay 132 balones
Roberto tiene 34 uvas y Federico tiene 67 uvas ¿Cuantos frutas hay en total?,En total hay 101 frutas
Pablo tiene 89 balones de basquet y Federico tiene 59 balones de basquet ¿Cuantos balones hay en total?,En total hay 148 balones
Pablo tiene 82 balones de basquet y Juan tiene 58 balones de voley ¿Cuantos balones hay en total?,En total hay 140 balones
Francisco tiene 47 ciruela y Ana tiene 65 sandias ¿Cuantos frutas hay en total?,En total hay 112 frutas
Julio tiene 20 balones de basquet y Lucas tiene 26 balones de voley ¿Cuantos balones hay en total?,En total hay 46 balones
Ana tiene 79 balones de rugby y Lucas tiene 5 balones de futbol ¿Cuantos balones hay en total?,En total hay 84 balones
un albañil tiene 56 pajaros y suma 21 pajaros ¿Cuantos hay al final ?,Al final hay 77 pajaros
Cesar tiene 63 melocotones y Julio tiene 56 uvas ¿Cuantos frutas hay en total?,En total hay 119 frutas
una actriz tiene 80 moviles y le dan 63 moviles ¿Cuantos hay en total?,En total hay 143 moviles
Roberto tiene 38 sandias y Lorena tiene 68 manzanas ¿Cuantos frutas hay en total?,En total hay 106 frutas
programador tiene 95 carteras y le quitan 68 carteras ¿Cuanto queda?,Queda 27 carteras
hay 92 tortillas en una mesa y se comen 43 ¿Cuantos tortillas quedan?,Quedan 49 tortillas
Pablo tiene 43 ciruela y Lucas tiene 76 ciruela ¿Cuantos frutas hay en total?,En total hay 119 frutas
hay 4 tortillas en una mesa y se comen 96 ¿Cuantos tortillas quedan?,Quedan 92 tortillas
un policia tiene 89 animales y le extraen 69 animales ¿Cuantos le queda?,Le queda 20 animales
Ana tiene 58 toronjas y Gustavo tiene 84 papayas ¿Cuantos frutas hay en total?,En total hay 142 frutas
fontanero tiene 74 unidades y excluye 59 unidades ¿Cuanto queda?,Queda 15 unidades
un perro tiene 72 animales y le quitan 45 animales ¿Cuantos tiene al final?,Al final tiene 27 animales
hay 91 pajaros en un arbol y se van volando 7 ¿Cuantos pajaros quedan?,Quedan 84 pajaros
hay 26 pajaros en un arbol y se van volando 53 ¿Cuantos pajaros quedan?,Quedan 27 pajaros
hay 43 tortillas en una mesa y se comen 19 ¿Cuantos tortillas quedan?,Quedan 24 tortillas
hay 32 niños en clase y se van 41 ¿Cuantos niños quedan?,Quedan 9 niños
Federico tiene 99 balones de rugby y Cesar tiene 94 balones de basquet ¿Cuantos balones hay en total?,En total hay 193 balones
una actriz tiene 38 frutas y añade 20 frutas ¿Cuantos hay en total?,En total hay 58 frutas
pablito  tiene 75 moviles y resta 53 moviles ¿Cuanto queda?,Queda 22 moviles
Juan tiene 53 peras y Cesar tiene 95 papayas ¿Cuantos frutas hay en total?,En total hay 148 frutas
Un carpitero tiene 94 unidades y le extraen 32 unidades ¿Cuantos le queda?,Le queda 62 unidades
Francisco tiene 6 toronjas y Gustavo tiene 86 melocotones ¿Cuantos frutas hay en total?,En total hay 92 frutas
Francisco tiene 38 balones de tenis y Gustavo tiene 62 balones de basquet ¿Cuantos balones hay en total?,En total hay 100 balones
hay 21 pajaros en un arbol y se van volando 3 ¿Cuantos pajaros quedan?,Quedan 18 pajaros
hay 98 pajaros en un arbol y se van volando 59 ¿Cuantos pajaros quedan?,Quedan 39 pajaros
hay 1 pajaros en un arbol y se van volando 11 ¿Cuantos pajaros quedan?,Quedan 10 pajaros
hay 60 pajaros en un arbol y se van volando 66 ¿Cuantos pajaros quedan?,Quedan 6 pajaros
hay 97 tortillas en una mesa y se comen 27 ¿Cuantos tortillas quedan?,Quedan 70 tortillas
hay 96 tortillas en una mesa y se comen 53 ¿Cuantos tortillas quedan?,Quedan 43 tortillas
un perro tiene 36 canicas y suma 65 canicas ¿Cuantos tienen entre los dos?,Entre los dos tienen 101 canicas
un albañil tiene 92 mesas y excluye 73 mesas ¿Cuanto queda?,Queda 19 mesas
hay 62 tortillas en una mesa y se comen 79 ¿Cuantos tortillas quedan?,Quedan 17 tortillas
un perro tiene 46 piedras y suma 73 piedras ¿Cuantos hay al final ?,Al final hay 119 piedras
cirujano tiene 1 coches y añade 8 coches ¿Cuantos hay en total?,En total hay 9 coches
Federico tiene 72 toronjas y Francisco tiene 28 peras ¿Cuantos frutas hay en total?,En total hay 100 frutas
Pedro tiene 93 peras y Celeste tiene 78 uvas ¿Cuantos frutas hay en total?,En total hay 171 frutas
un perro tiene 20 moviles y añade 51 moviles ¿Cuantos hay en total?,En total hay 71 moviles
hay 1 niños en clase y se van 53 ¿Cuantos niños quedan?,Quedan 52 niños
jose tiene 37 lapices y incluye 27 lapices ¿Cuantos hay en total?,En total hay 64 lapices
piloto tiene 86 sillas y añade 93 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 179 sillas
un mecanico tiene 36 animales y le entregan 30 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 66 animales
hay 93 niños en clase y se van 10 ¿Cuantos niños quedan?,Quedan 83 niños
Roberto tiene 56 melocotones y Juan tiene 26 toronjas ¿Cuantos frutas hay en total?,En total hay 82 frutas
profesor tiene 69 relojes y le extraen 54 relojes ¿Cuanto queda?,Queda 15 relojes
un perro tiene 49 relojes y con una diferencia 20 relojes ¿Cuantos tiene al final?,Al final tiene 29 relojes
fontanero tiene 77 pajaros y incluye 41 pajaros ¿Cuantos hay al final ?,Al final hay 118 pajaros
ingeniero tiene 57 piedras y le quitan 36 piedras ¿Cuantos tiene al final?,Al final tiene 21 piedras
Lorena tiene 70 papayas y Gustavo tiene 12 peras ¿Cuantos frutas hay en total?,En total hay 82 frutas
Cesar tiene 29 balones de basquet y Lucas tiene 48 balones de voley ¿Cuantos balones hay en total?,En total hay 77 balones
hay 66 niños en clase y se van 39 ¿Cuantos niños quedan?,Quedan 27 niños
una actriz tiene 83 balones y le dan 90 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 173 balones
un actor tiene 83 teles y le quitan 15 teles ¿Cuantos tiene al final?,Al final tiene 68 teles
hay 53 pajaros en un arbol y se van volando 37 ¿Cuantos pajaros quedan?,Quedan 16 pajaros
un perro tiene 21 teles y incluye 7 teles ¿Cuantos hay en total?,En total hay 28 teles
Juan tiene 100 balones de voley y Julio tiene 20 balones de tenis ¿Cuantos balones hay en total?,En total hay 120 balones
medico tiene 95 animales y resta 56 animales ¿Cuanto queda?,Queda 39 animales
Lucas tiene 69 balones de voley y Francisco tiene 4 balones de voley ¿Cuantos balones hay en total?,En total hay 73 balones
un mecanico tiene 2 sillas y le dan 31 sillas ¿Cuantos hay al final ?,Al final hay 33 sillas
Roberto tiene 35 ciruela y Juan tiene 38 toronjas ¿Cuantos frutas hay en total?,En total hay 73 frutas
hay 62 niños en clase y se van 51 ¿Cuantos niños quedan?,Quedan 11 niños
Cesar tiene 70 platano y Ana tiene 48 peras ¿Cuantos frutas hay en total?,En total hay 118 frutas
hay 49 tortillas en una mesa y se comen 42 ¿Cuantos tortillas quedan?,Quedan 7 tortillas
hay 5 tortillas en una mesa y se comen 94 ¿Cuantos tortillas quedan?,Quedan 89 tortillas
un perro tiene 61 teles y excluye 1 teles ¿Cuantos le queda?,Le queda 60 teles
un albañil tiene 33 frutas y con una diferencia 19 frutas ¿Cuantos le queda?,Le queda 14 frutas
hay 82 niños en clase y se van 22 ¿Cuantos niños quedan?,Quedan 60 niños
Gustavo tiene 94 balones de futbol y Celeste tiene 39 balones de futbol ¿Cuantos balones hay en total?,En total hay 133 balones
hay 42 tortillas en una mesa y se comen 100 ¿Cuantos tortillas quedan?,Quedan 58 tortillas
Lorena tiene 43 balones de voley y Pedro tiene 35 balones de rugby ¿Cuantos balones hay en total?,En total hay 78 balones
Pedro tiene 28 balones de basquet y Lorena tiene 73 balones de futbol ¿Cuantos balones hay en total?,En total hay 101 balones
hay 88 pajaros en un arbol y se van volando 77 ¿Cuantos pajaros quedan?,Quedan 11 pajaros
Celeste tiene 99 coco y Lucas tiene 97 peras ¿Cuantos frutas hay en total?,En total hay 196 frutas
un bombero tiene 78 unidades y suma 92 unidades ¿Cuantos hay en total?,En total hay 170 unidades
paloma tiene 80 animales y con una diferencia 33 animales ¿Cuanto queda?,Queda 47 animales
un obrero tiene 52 pajaros y le quitan 23 pajaros ¿Cuantos le queda?,Le queda 29 pajaros
hay 87 pajaros en un arbol y se van volando 20 ¿Cuantos pajaros quedan?,Quedan 67 pajaros
Enrique tiene 76 lapices y con una diferencia 10 lapices ¿Cuanto queda?,Queda 66 lapices
hay 94 pajaros en un arbol y se van volando 59 ¿Cuantos pajaros quedan?,Quedan 35 pajaros
perro tiene 17 coches y le dan 45 coches ¿Cuantos tienen entre los dos?,Entre los dos tienen 62 coches
un bombero tiene 91 canicas y le extraen 50 canicas ¿Cuantos tiene al final?,Al final tiene 41 canicas
pablito  tiene 33 moviles y con una diferencia 6 moviles ¿Cuanto queda?,Queda 27 moviles
un policia tiene 91 sillas y con una diferencia 87 sillas ¿Cuantos tiene al final?,Al final tiene 4 sillas
un policia tiene 35 mesas y añade 96 mesas ¿Cuantos tienen entre los dos?,Entre los dos tienen 131 mesas
hay 87 pajaros en un arbol y se van volando 76 ¿Cuantos pajaros quedan?,Quedan 11 pajaros
hay 36 tortillas en una mesa y se comen 92 ¿Cuantos tortillas quedan?,Quedan 56 tortillas
hay 93 pajaros en un arbol y se van volando 76 ¿Cuantos pajaros quedan?,Quedan 17 pajaros
Cesar tiene 13 balones de basquet y Gustavo tiene 27 balones de rugby ¿Cuantos balones hay en total?,En total hay 40 balones
pablito  tiene 36 carteras y añade 22 carteras ¿Cuantos hay en total?,En total hay 58 carteras
un policia tiene 69 piedras y le dan 83 piedras ¿Cuantos hay al final ?,Al final hay 152 piedras
hay 37 tortillas en una mesa y se comen 93 ¿Cuantos tortillas quedan?,Quedan 56 tortillas
hay 45 pajaros en un arbol y se van volando 26 ¿Cuantos pajaros quedan?,Quedan 19 pajaros
hay 51 tortillas en una mesa y se comen 20 ¿Cuantos tortillas quedan?,Quedan 31 tortillas
un policia tiene 84 mesas y le dan 80 mesas ¿Cuantos tienen entre los dos?,Entre los dos tienen 164 mesas
jose tiene 74 sillas y le dan 88 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 162 sillas
una actriz tiene 69 piedras y le dan 86 piedras ¿Cuantos hay al final ?,Al final hay 155 piedras
hay 44 niños en clase y se van 76 ¿Cuantos niños quedan?,Quedan 32 niños
un mecanico tiene 52 sillas y excluye 25 sillas ¿Cuantos le queda?,Le queda 27 sillas
perro tiene 86 carteras y le dan 59 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 145 carteras
una actriz tiene 35 sillas y añade 99 sillas ¿Cuantos hay en total?,En total hay 134 sillas
un albañil tiene 96 sillas y le quitan 48 sillas ¿Cuantos le queda?,Le queda 48 sillas
Gustavo tiene 11 papayas y Francisco tiene 6 uvas ¿Cuantos frutas hay en total?,En total hay 17 frutas
hay 21 niños en clase y se van 100 ¿Cuantos niños quedan?,Quedan 79 niños
un obrero tiene 5 unidades y añade 63 unidades ¿Cuantos hay en total?,En total hay 68 unidades
jose tiene 80 pajaros y le quitan 43 pajaros ¿Cuantos tiene al final?,Al final tiene 37 pajaros
perro tiene 70 moviles y añade 57 moviles ¿Cuantos hay al final ?,Al final hay 127 moviles
Roberto tiene 62 manzanas y Cesar tiene 21 coco ¿Cuantos frutas hay en total?,En total hay 83 frutas
Federico tiene 36 balones de futbol y Ana tiene 62 balones de voley ¿Cuantos balones hay en total?,En total hay 98 balones
Una azafata tiene 93 lapices y añade 14 lapices ¿Cuantos hay al final ?,Al final hay 107 lapices
un obrero tiene 43 sillas y resta 19 sillas ¿Cuanto queda?,Queda 24 sillas
Un carpitero tiene 49 unidades y le entregan 14 unidades ¿Cuantos tienen entre los dos?,Entre los dos tienen 63 unidades
Federico tiene 22 manzanas y Celeste tiene 62 manzanas ¿Cuantos frutas hay en total?,En total hay 84 frutas
perro tiene 94 animales y resta 14 animales ¿Cuanto queda?,Queda 80 animales
hay 82 niños en clase y se van 59 ¿Cuantos niños quedan?,Quedan 23 niños
hay 82 tortillas en una mesa y se comen 43 ¿Cuantos tortillas quedan?,Quedan 39 tortillas
Pablo tiene 86 manzanas y Celeste tiene 87 toronjas ¿Cuantos frutas hay en total?,En total hay 173 frutas
Ana tiene 83 balones de voley y Julio tiene 15 balones de rugby ¿Cuantos balones hay en total?,En total hay 98 balones
un obrero tiene 83 balones y añade 28 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 111 balones
ingeniero tiene 77 pajaros y incluye 91 pajaros ¿Cuantos hay en total?,En total hay 168 pajaros
piloto tiene 93 animales y añade 51 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 144 animales
hay 91 niños en clase y se van 60 ¿Cuantos niños quedan?,Quedan 31 niños
hay 71 niños en clase y se van 51 ¿Cuantos niños quedan?,Quedan 20 niños
hay 11 tortillas en una mesa y se comen 95 ¿Cuantos tortillas quedan?,Quedan 84 tortillas
un mecanico tiene 63 teles y le extraen 44 teles ¿Cuanto queda?,Queda 19 teles
Lucas tiene 64 balones de tenis y Celeste tiene 14 balones de basquet ¿Cuantos balones hay en total?,En total hay 78 balones
Enrique tiene 83 sillas y le dan 21 sillas ¿Cuantos hay en total?,En total hay 104 sillas
un mecanico tiene 92 mesas y le extraen 39 mesas ¿Cuanto queda?,Queda 53 mesas
Enrique tiene 65 sillas y excluye 55 sillas ¿Cuantos tiene al final?,Al final tiene 10 sillas
Julio tiene 83 toronjas y Cesar tiene 19 peras ¿Cuantos frutas hay en total?,En total hay 102 frutas
Pablo tiene 45 papayas y Lorena tiene 18 ciruela ¿Cuantos frutas hay en total?,En total hay 63 frutas
Ana tiene 93 balones de rugby y Cesar tiene 67 balones de basquet ¿Cuantos balones hay en total?,En total hay 160 balones
un mecanico tiene 67 sillas y incluye 38 sillas ¿Cuantos hay en total?,En total hay 105 sillas
Lorena tiene 88 coco y Lucas tiene 69 papayas ¿Cuantos frutas hay en total?,En total hay 157 frutas
Cesar tiene 60 balones de futbol y Roberto tiene 98 balones de rugby ¿Cuantos balones hay en total?,En total hay 158 balones
un obrero tiene 30 pajaros y le quitan 11 pajaros ¿Cuantos le queda?,Le queda 19 pajaros
un mecanico tiene 27 carteras y le extraen 5 carteras ¿Cuanto queda?,Queda 22 carteras
Pedro tiene 55 balones de rugby y Roberto tiene 38 balones de rugby ¿Cuantos balones hay en total?,En total hay 93 balones
un obrero tiene 50 moviles y excluye 47 moviles ¿Cuantos tiene al final?,Al final tiene 3 moviles
hay 49 niños en clase y se van 34 ¿Cuantos niños quedan?,Quedan 15 niños
jose tiene 77 balones y le entregan 20 balones ¿Cuantos hay en total?,En total hay 97 balones
hay 65 niños en clase y se van 44 ¿Cuantos niños quedan?,Quedan 21 niños
programador tiene 67 lapices y excluye 58 lapices ¿Cuantos le queda?,Le queda 9 lapices
Lucas tiene 51 balones de tenis y Pablo tiene 50 balones de basquet ¿Cuantos balones hay en total?,En total hay 101 balones
perro tiene 52 piedras y con una diferencia 25 piedras ¿Cuanto queda?,Queda 27 piedras
hay 86 tortillas en una mesa y se comen 23 ¿Cuantos tortillas quedan?,Quedan 63 tortillas
hay 60 niños en clase y se van 55 ¿Cuantos niños quedan?,Quedan 5 niños
un policia tiene 88 animales y le dan 80 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 168 animales
hay 9 tortillas en una mesa y se comen 89 ¿Cuantos tortillas quedan?,Quedan 80 tortillas
una actriz tiene 89 unidades y excluye 52 unidades ¿Cuantos tiene al final?,Al final tiene 37 unidades
fontanero tiene 42 relojes y añade 42 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 84 relojes
un perro tiene 96 coches y le dan 28 coches ¿Cuantos hay en total?,En total hay 124 coches
Ana tiene 64 balones de tenis y Pedro tiene 89 balones de futbol ¿Cuantos balones hay en total?,En total hay 153 balones
Francisco tiene 96 peras y Juan tiene 1 melocotones ¿Cuantos frutas hay en total?,En total hay 97 frutas
un obrero tiene 91 balones y resta 12 balones ¿Cuanto queda?,Queda 79 balones
programador tiene 100 unidades y incluye 52 unidades ¿Cuantos hay al final ?,Al final hay 152 unidades
hay 73 tortillas en una mesa y se comen 85 ¿Cuantos tortillas quedan?,Quedan 12 tortillas
Un carpitero tiene 58 sillas y suma 75 sillas ¿Cuantos hay en total?,En total hay 133 sillas
hay 4 pajaros en un arbol y se van volando 20 ¿Cuantos pajaros quedan?,Quedan 16 pajaros
hay 100 tortillas en una mesa y se comen 16 ¿Cuantos tortillas quedan?,Quedan 84 tortillas
un mecanico tiene 71 mesas y le entregan 5 mesas ¿Cuantos hay al final ?,Al final hay 76 mesas
Lorena tiene 41 manzanas y Juan tiene 12 toronjas ¿Cuantos frutas hay en total?,En total hay 53 frutas
piloto tiene 35 piedras y resta 31 piedras ¿Cuantos tiene al final?,Al final tiene 4 piedras
programador tiene 94 carteras y le extraen 59 carteras ¿Cuantos tiene al final?,Al final tiene 35 carteras
hay 66 tortillas en una mesa y se comen 17 ¿Cuantos tortillas quedan?,Quedan 49 tortillas
Una azafata tiene 97 canicas y excluye 49 canicas ¿Cuanto queda?,Queda 48 canicas
jose tiene 51 carteras y le dan 99 carteras ¿Cuantos hay en total?,En total hay 150 carteras
un obrero tiene 18 carteras y resta 1 carteras ¿Cuantos le queda?,Le queda 17 carteras
Pablo tiene 43 balones de futbol y Celeste tiene 91 balones de basquet ¿Cuantos balones hay en total?,En total hay 134 balones
